Check,Away,Home,Check,,network,time,mediaindicator,,,
0,Ole Miss,Missouri,0,,FSN HD,9/9/2006 12:30,T,,,
0,Auburn,Mississippi St.,0,,Lincoln Financial Sports,9/9/2006 12:30,T,,,
0,Miami (OH),Purdue,0,,ESPN360,9/9/2006 13:00,W,,,
0,Kent St.,Army,0,,ESPN Classic,9/9/2006 13:00,T,,,
0,Massachusetts,Navy,0,,CSTV,9/9/2006 13:30,T,,,
0,Ohio,Northern Illinois,0,,CSN Chicago,9/9/2006 15:00,T,,,
0,Buffalo,Bowling Green,0,,,9/9/2006 15:00,W,,,
0,Vanderbilt,Arkansas,0,,FSN/SEC TV,9/9/2006 15:30,T,,,
0,Penn St.,Notre Dame,0,,NBC HD,9/9/2006 15:30,T,,,
0,Western Illinois,Wisconsin,0,,ESPNU,9/9/2006 15:30,T,,,
0,Eastern Michigan,Michigan St.,0,,ESPN Plus,9/9/2006 15:30,T,,,
0,Washington,Oklahoma,0,,ABC HD,9/9/2006 15:30,T,,,
0,Iowa,Syracuse,0,,ABC,9/9/2006 15:30,T,,,
0,Clemson,Boston College,0,,ABC,9/9/2006 15:30,T,,,
0,Tulsa,BYU,0,,The mtn.,9/9/2006 16:00,T,,,
0,Hofstra,Marshall,0,,,9/9/2006 16:30,W,,,
0,UCF,Florida,0,,Sun Sports PPV,9/9/2006 18:00,T,,,
0,Stanford,San Jose St.,0,,CSN West,9/9/2006 18:00,T,,,
0,Troy,Florida St.,0,,Sun Sports PPV,9/9/2006 18:00,T,,,
0,Indiana,Ball St.,0,,Comcast Local,9/9/2006 18:30,T,,,
0,Arizona,LSU,0,,ESPN2 HD,9/9/2006 18:30,T,,,
0,Air Force,LSU,0,,CSS PPV,9/9/2006 19:00,T,,,
0,Toledo,Western Michigan,0,,,9/9/2006 19:00,W,,,
0,UC-Davis,TCU,0,,,9/9/2006 19:00,W,,,
0,East Carolina,UAB,0,,,9/9/2006 19:00,W,,,
0,Tulane,Houston,0,,,9/9/2006 19:00,W,,,
0,Florida A&M,Miami (FL),0,,ESPN360,9/9/2006 19:00,W,,,
0,FIU,USF,0,,ESPN360,9/9/2006 19:00,W,,,
0,Georgia,South Carolina,0,,ESPN HD,9/9/2006 19:45,T,,,
0,Northern Arizona,Utah,0,,The mtn.,9/9/2006 20:00,T,,,
0,Ohio St.,Texas,0,,ABC HD,9/9/2006 20:00,T,,,
0,Texas Tech,UTEP,0,,CSTV,9/9/2006 21:00,T,,,
0,Oregon,Fresno St.,0,,ESPN2 HD,9/9/2006 22:00,T,,,
0,Tennessee Tech,Middle Tennessee,0,,ESPNU,9/14/2006 19:00,T,,,
0,Maryland,West Virginia,0,,ESPN HD,9/14/2006 19:30,T,,,
