game,network,time,mediaindicator,
Presbyterian at Wake Forest,,09/02/2010 18:30,W,
Southeast Missouri St. at Ball St.,,09/02/2010 19:00,W,
Rhode Island at Buffalo,Time Warner-Buffalo,09/02/2010 19:00,T,
Hampton at Central Michigan,,09/02/2010 19:00,W,
Murray St. at Kent St.,,09/02/2010 19:00,W,
Minnesota at Middle Tennessee,ESPNU HD,09/02/2010 19:30,T,
Southern Miss at South Carolina,ESPN HD,09/02/2010 19:30,T,
Florida A&M at Miami (FL),,09/02/2010 19:30,W,
Norfolk St. at Rutgers,,09/02/2010 19:30,W,
Towson at Indiana,Big Ten Network HD,09/02/2010 19:30,T,
Marshall at Ohio St.,Big Ten Network HD,09/02/2010 19:30,T,
Northern Illinois at Iowa St.,FSN Regional HD,09/02/2010 20:00,T,
Florida Atlantic at UAB,,09/02/2010 20:00,W,
Southeast Louisiana at Tulane,,09/02/2010 20:00,W,
Pittsburgh at Utah,Versus HD,09/02/2010 20:30,T,
North Dakota at Idaho,Altitude,09/02/2010 21:00,T,
USC at Hawai'i,ESPN HD,09/02/2010 23:00,T,
Villanova at Temple,,09/03/2010 17:00,W,
Arizona at Toledo,ESPN HD,09/03/2010 20:00,T,
Grambling vs. Louisiana Tech,,09/04/2010 00:00,N,
Sam Houston St. at Baylor,,09/04/2010 00:00,N,
Stephen F. Austin at Texas A&M,,09/04/2010 00:00,N,
Northwestern St. at Air Force,,09/04/2010 00:00,N,
Nicholls St. at San Diego St.,,09/04/2010 00:00,N,
Southern Utah at Wyoming,,09/04/2010 00:00,N,
Miami (OH) at Florida,ESPN HD,09/04/2010 12:00,T,
UL-Lafayette at Georgia,SEC Network HD,09/04/2010 12:00,T,
Samford at Florida St,ESPNU HD,09/04/2010 12:00,T,
Eastern Illinois at Iowa,Big Ten Network HD,09/04/2010 12:00,T,
Western Michigan at Michigan St.,ESPN2 HD,09/04/2010 12:00,T,
Youngstown St. at Penn St.,Big Ten Network HD,09/04/2010 12:00,T,
Illinois vs. Missouri<br>(at St. Louis, MO),FSN HD,09/04/2010 12:30,T
South Carolina St. at Georgia Tech,,09/04/2010 13:00,W,
Weber St. at Boston College,,09/04/2010 13:00,W,
