game,network,time,mediaindicator,
Colorado vs. Colorado St.<br>(at Denver, CO),The mtn. HD,09/04/2010 14:00,T
Jacksonville St. at Ole Miss,SEC/CSS HD,09/04/2010 15:30,T,
North Texas at Clemson,ESPNU HD,09/04/2010 15:30,T,
UCLA at Kansas St.,ABC HD/ESPN2 HD,09/04/2010 15:30,T,
Connecticut at Michigan,ABC HD/ESPN2,09/04/2010 15:30,T,
Kentucky at Louisville,ABC HD,09/04/2010 15:30,T,
Coastal Carolina at West Virginia,Big East Network,09/04/2010 15:30,T,
Purdue at Notre Dame,NBC HD,09/04/2010 15:30,T,
Texas vs. Rice<br>(at Reliant Stadium),ESPN HD,09/04/2010 15:30,T,
New Mexico at Oregon,Oregon Sports,09/04/2010 15:30,T,
UC-Davis at California,CSN California,09/04/2010 16:00,T,
Syracuse at Akron,,09/04/2010 18:00,W,
South Dakota at UCF,,09/04/2010 18:00,W,
Western Carolina at NC State,,09/04/2010 18:00,W,
Richmond at Virginia,,09/04/2010 18:00,W,
UT-Martin at Tennessee,Vol Network PPV,09/04/2010 18:00,T,
Sacramento St. at Stanford,CSN Bay Area,09/04/2010 18:30,T,
Army at Eastern Michigan,,09/04/2010 19:00,W,
Wofford at Ohio,,09/04/2010 19:00,W,
Bowling Green at Troy,Troy/ISP Sports,09/04/2010 19:00,T,
Elon at Duke,,09/04/2010 19:00,W,
Western Kentucky at Nebraska,FSN PPV HD,09/04/2010 19:00,T,
Utah St. at Oklahoma,FSN PPV HD,09/04/2010 19:00,T,
Washington St. at Oklahoma St.,FSN HD,09/04/2010 19:00,T,
North Dakota St. at Kansas,FOX College Sports,09/04/2010 19:00,T,
Stony Brook at USF,Big East Network,09/04/2010 19:00,T,
Memphis at Mississippi St.,ESPNU HD,09/04/2010 19:00,T,
>San Jose St. at Alabama,Crimson Tide PPV,09/04/2010 19:00,T,
Tennessee Tech at Arkansas,ARSN PPV,09/04/2010 19:00,T,
Arkansas St. at Auburn,SEC/FSN Regional HD,09/04/2010 19:00,T,
Washington at BYU,CBS College Sports HD,09/04/2010 19:00,T,
Northwestern at Vanderbilt,SEC/CSS HD,09/04/2010 19:30,T,
TCU vs. Oregon St.<br>(at Arlington, TX),ESPN HD,09/04/2010 19:45,T
Texas St. at Houston,,09/04/2010 20:00,W,
LSU vs. North Carolina<br>(at Atlanta, GA),ABC HD,09/04/2010 20:00,T
UAPB at UTEP,,09/04/2010 21:00,W,
Cincinnati at Fresno St.,ESPN2 HD,09/04/2010 22:00,T,
Portland St. at Arizona St.,Fox Sports Arizona,09/04/2010 22:15,T,
Wisconsin at UNLV,Versus HD,09/04/2010 23:00,T,
Tulsa at East Carolina,ESPN2 HD,09/05/2010 14:00,T,
SMU at Texas Tech,ESPN HD,09/05/2010 15:30,T,
Navy vs. Maryland<br>(at Baltimore, MD),ESPN HD,09/06/2010 16:00,T
Boise St. vs. Virginia Tech<br>(at Landover, MD),ESPN HD<br>ESPN 3D,09/06/2010 20:00,T
Central Michigan at Temple,ESPNU HD,09/09/2010 19:00,T,
Auburn at Mississippi St.,ESPN HD,09/09/2010 19:30,T,
West Virginia at Marshall,ESPN HD,09/10/2010 19:00,T,
UTEP at Houston,ESPN HD,09/10/2010 22:15,T,
Prairie View A&M at Southern Miss,,09/11/2010 00:00,N,
Missouri St. at Kansas St.,,09/11/2010 00:00,N,
Troy at Oklahoma St.,,09/11/2010 00:00,N,
Louisiana Tech at Texas A&M,,09/11/2010 00:00,N,
Tennessee Tech at TCU,,09/11/2010 00:00,N,
Michigan St. vs. Florida Atlantic<br>(at Detroit, MI),ESPNU HD,09/11/2010 12:00,T
Georgia at South Carolina,ESPN2 HD,09/11/2010 12:00,T,
USF at Florida,SEC Network HD,09/11/2010 12:00,T,
Georgia Tech at Kansas,FSN HD,09/11/2010 12:00,T,
Duke at Wake Forest,ACC Network HD,09/11/2010 12:00,T,
Indiana St. at Cincinnati,Big East Network,09/11/2010 12:00,T,
Texas Southern at Connecticut,Big East Network,09/11/2010 12:00,T,
Hawai'i at Army,CBS College Sports HD,09/11/2010 12:00,T,
South Dakota at Minnesota,Big Ten Network HD,09/11/2010 12:00,T,
Illinois St. at Northwestern,Big Ten Network HD,09/11/2010 12:00,T,
Western Illinois at Purdue,Big Ten Network HD,09/11/2010 12:00,T,
San Jose St. at Wisconsin,ESPN HD,09/11/2010 12:00,T,
Memphis at East Carolina,CSS,09/11/2010 12:00,T,
Gardner-Webb at Akron,,09/11/2010 12:00,W,
Idaho at Nebraska,FSN PPV HD,09/11/2010 12:30,T,
New Hampshire at Pittsburgh,,09/11/2010 13:00,W,
James Madison at Virginia Tech,,09/11/2010 13:30,W,
Eastern Michigan at Miami (OH),ONN,09/11/2010 14:00,T,
Colorado at California,FSN HD,09/11/2010 15:30,T,
Arkansas St. at UL-Lafayette,Sun Belt Network,09/11/2010 15:30,T,
Kent St. at Boston College,ESPNU HD,09/11/2010 15:30,T,
Presbyterian at Clemson,,09/11/2010 15:30,W,
Florida St. at Oklahoma,ABC HD/ESPN2,09/11/2010 15:30,T,
Eastern Kentucky at Louisville,Big East Network,09/11/2010 15:30,T,
Georgia Southern at Navy,CBS College Sports HD,09/11/2010 15:30,T,
Michigan at Notre Dame,NBC HD,09/11/2010 15:30,T,
Iowa St. at Iowa,ABC HD/ESPN2,09/11/2010 15:30,T,
Miami (FL) at Ohio St.,ESPN HD<br>ESPN 3D,09/11/2010 15:40,T,
BYU at Air Force,Versus HD,09/11/2010 16:00,T,
UNLV at Utah,The mtn. HD,09/11/2010 16:00,T,
Morgan St. at Maryland,,09/11/2010 18:00,W,
McNeese St. at Missouri,FSN PPV,09/11/2010 19:00,T,
Wyoming at Texas,FSN HD,09/11/2010 19:00,T,
Buffalo at Baylor,FOX College Sports,09/11/2010 19:00,T,
Bowling Green at Tulsa,,09/11/2010 19:00,W,
Syracuse at Washington,FSN Northwest,09/11/2010 19:00,T,
Montana St. at Washington St.,FSN Northwest,09/11/2010 19:00,T,
Austin Peay at Middle Tennessee,,09/11/2010 19:00,W,
Rice at North Texas,,09/11/2010 19:00,W,
Toledo at Ohio,,09/11/2010 19:00,W,
Liberty at Ball St.,,09/11/2010 19:00,W,
North Dakota at Northern Illinois,,09/11/2010 19:00,W,
Nicholls St. at Western Michigan,,09/11/2010 19:00,W,
Oregon at Tennessee,ESPN2 HD,09/11/2010 19:00,T,
LSU at Vanderbilt,ESPNU HD,09/11/2010 19:00,T,
Penn St. at Alabama,ESPN HD,09/11/2010 19:00,T,
UL-Monroe at Arkansas,SEC/FSN Regional HD,09/11/2010 19:00,T,
Western Kentucky at Kentucky,SEC/CSS HD,09/11/2010 19:30,T,
NC State at UCF,CBS College Sports HD,09/11/2010 19:30,T,
Southern Illinois at Illinois,Big Ten Network HD,09/11/2010 19:30,T,
UAB at SMU,Time Warner-Texas,09/11/2010 20:00,T,
San Diego St. at New Mexico St.,Aggie Vision,09/11/2010 20:00,T,
Idaho St. at Utah St.,,09/11/2010 20:00,W,
Rutgers at FIU,ESPN Plus,09/11/2010 20:00,T,
Texas Tech at New Mexico,The mtn. HD,09/11/2010 20:00,T,
Ole Miss at Tulane,ESPN Classic/ESPN2 HD,09/11/2010 21:00,T,
The Citadel at Arizona,Wildcats Sports,09/11/2010 22:00,T,
Northern Arizona at Arizona St.,Fox Sports Arizona Plus,09/11/2010 22:00,T,
Virginia at USC,FSN HD,09/11/2010 22:30,T,
Stanford at UCLA,ESPN HD,09/11/2010 22:30,T,
Colorado St. at Nevada,ESPNU HD,09/11/2010 22:30,T,
Cincinnati at NC State,ESPN HD,09/16/2010 19:30,T,
Kansas at Southern Miss,ESPN HD,09/17/2010 20:00,T,
California at Nevada,ESPN2 HD,09/17/2010 22:00,T,
Southern Utah at San Jose St.,,09/18/2010 00:00,N,
Tulsa at Oklahoma St.,,09/18/2010 00:00,N,
FIU at Texas A&M,,09/18/2010 00:00,N,
Iowa St. vs. Kansas St.<br>(at Kansas City, MO),FSN HD,09/18/2010 12:00,T
Georgia Tech at North Carolina,ACC Network HD,09/18/2010 12:00,T,
Northern Illinois at Illinois,Big Ten Network HD,09/18/2010 12:00,T,
Massachusetts at Michigan,Big Ten Network HD,09/18/2010 12:00,T,
Ohio at Ohio St.,Big Ten Network HD,09/18/2010 12:00,T,
Kent St. at Penn St.,ESPN2 HD,09/18/2010 12:00,T,
Ball St. at Purdue,Big Ten Network HD,09/18/2010 12:00,T,
North Texas at Army,CBS College Sports HD,09/18/2010 12:00,T,
Maryland at West Virginia,ESPNU HD,09/18/2010 12:00,T,
Connecticut at Temple,ESPN Plus,09/18/2010 12:00,T,
Arkansas at Georgia,ESPN HD,09/18/2010 12:00,T,
Vanderbilt at Ole Miss,SEC Network HD,09/18/2010 12:00,T,
East Carolina at Virginia Tech,,09/18/2010 13:30,W,
Alabama at Duke,ABC HD,09/18/2010 15:30,T,
BYU at Florida St.,ESPNU HD,09/18/2010 15:30,T,
Hawai'i at Colorado,FOX College Sports,09/18/2010 15:30,T,
Air Force at Oklahoma,FSN HD,09/18/2010 15:30,T,
Arizona St. at Wisconsin,ABC HD/ESPN2,09/18/2010 15:30,T,
USC at Minnesota,ESPN HD,09/18/2010 15:30,T,
Colorado St. at Miami (OH),ONN,09/18/2010 15:30,T,
Nebraska at Washington,ABC HD/ESPN2 HD,09/18/2010 15:30,T,
Washington St. at SMU,CBS College Sports HD,09/18/2010 15:30,T,
Florida at Tennessee,CBS HD,09/18/2010 15:30,T,
Troy at UAB,,09/18/2010 16:00,W,
Central Michigan at Eastern Michigan,,09/18/2010 16:00,W,
Baylor at TCU,Versus HD,09/18/2010 16:30,T,
Indiana at Western Kentucky,Big Ten Network HD,09/18/2010 17:00,T,
Louisville at Oregon St.,FSN Northwest,09/18/2010 17:30,T,
Portland St. at Oregon,Oregon Sports,09/18/2010 18:15,T,
Toledo at Western Michigan,,09/18/2010 19:00,W,
Marshall at Bowling Green,WSAZ<br>Buckeye Cable,09/18/2010 19:00,T,
UCF at Buffalo,Time Warner-Buffalo<br>Bright House Sports,09/18/2010 19:00,T,
Middle Tennessee at Memphis,,09/18/2010 19:00,W,
Northwestern at Rice,,09/18/2010 19:00,W,
Navy at Louisiana Tech,,09/18/2010 19:00,W,
Maine at Syracuse,Time Warner-Central NY,09/18/2010 19:00,T,
San Diego St. at Missouri,FSN PPV,09/18/2010 19:00,T,
Clemson at Auburn,ESPN HD<br>ESPN 3D,09/18/2010 19:00,T,
Akron at Kentucky,SEC/FSN Regional HD,09/18/2010 19:00,T,
Mississippi St. at LSU,ESPNU HD,09/18/2010 19:00,T,
Furman at South Carolina,Gamecocks PPV,09/18/2010 19:00,T,
Boise St. at Wyoming,CBS College Sports HD,09/18/2010 20:00,T,
Utah at New Mexico,The mtn. HD,09/18/2010 20:00,T,
Texas at Texas Tech,ABC HD/ESPN2 HD,09/18/2010 20:00,T,
Notre Dame at Michigan St.,ABC HD/ESPN2 HD,09/18/2010 20:00,T,
Fresno St. at Utah St.,WAC Network,09/18/2010 20:00,T,
UL-Monroe at Arkansas St.,Sun Belt Network,09/18/2010 20:00,T,
New Mexico St. at UTEP,,09/18/2010 21:00,W,
UNLV at Idaho,ESPNU HD,09/18/2010 22:30,T,
Iowa at Arizona,ESPN HD,09/18/2010 22:30,T,
Houston at UCLA,FSN HD,09/18/2010 22:30,T,
Wake Forest at Stanford,ESPN2 HD,09/18/2010 23:15,T,
Miami (FL) at Pittsburgh,ESPN HD,09/23/2010 19:30,T,
TCU at SMU,ESPN HD,09/24/2010 20:00,T,
North Texas at FAU,,09/25/2010 00:00,N,
Miami (OH) at Missouri,,09/25/2010 00:00,N,
Idaho at Colorado St.,,09/25/2010 00:00,N,
Utah St. at San Diego St.,,09/25/2010 00:00,N,
San Jose St. at Utah,,09/25/2010 00:00,N,
UAB at Tennessee,SEC Network HD,09/25/2010 12:00,T,
Virginia Tech at Boston College,ACC Network HD,09/25/2010 12:00,T,
NC State at Georgia Tech,ESPN HD,09/25/2010 12:00,T,
Florida International at Maryland,ESPNU HD,09/25/2010 12:00,T,
Buffalo at Connecticut,Big East Network HD,09/25/2010 12:00,T,
Central Michigan at Northwestern,Big Ten Network HD,09/25/2010 12:00,T,
Toledo at Purdue,Big Ten Network HD,09/25/2010 12:00,T,
Austin Peay at Wisconsin,Big Ten Network HD,09/25/2010 12:00,T,
Ball St. at Iowa,Big Ten Network HD,09/25/2010 12:00,T,
Bowling Green at Michigan,ESPN2 HD,09/25/2010 12:00,T,
Northern Colorado at Michigan St.,Big Ten Network HD,09/25/2010 12:00,T,
UCF at Kansas St.,FSN Regional HD,09/25/2010 12:30,T,
VMI at Virginia,,09/25/2010 13:30,W,
Air Force at Wyoming,The mtn. HD,09/25/2010 14:00,T,
Army at Duke,,09/25/2010 15:00,W,
USC at Washington St.,FSN Regional,09/25/2010 15:00,T,
Arkansas St. at Troy,Sun Belt Network,09/25/2010 15:30,T,
Tulane at Houston,CBS College Sports HD,09/25/2010 15:30,T,
Wake Forest at Florida St.,ABC HD,09/25/2010 15:30,T,
UCLA at Texas,ABC HD/ESPN,09/25/2010 15:30,T,
Eastern Michigan at Ohio St.,ABC HD/ESPN HD,09/25/2010 15:30,T,
Temple at Penn St.,Big Ten Network HD,09/25/2010 15:30,T,
North Carolina at Rutgers,ESPNU HD,09/25/2010 15:30,T,
Stanford at Notre Dame,NBC HD,09/25/2010 15:30,T,
Colgate at Syracuse,,09/25/2010 15:30,W,
Alabama at Arkansas,CBS HD,09/25/2010 15:30,T,
Nevada at BYU,The mtn. HD,09/25/2010 18:00,T,
Oklahoma at Cincinnati,ESPN2 HD,09/25/2010 18:00,T,
Western Kentucky at USF,Big East Network,09/25/2010 19:00,T,
Akron at Indiana,Big Ten Network HD,09/25/2010 19:00,T,
Northern Iowa at Iowa St.,Mediacom-Iowa,09/25/2010 19:00,T,
New Mexico St. at Kansas,FOX College Sports,09/25/2010 19:00,T,
South Dakota St. at Nebraska,FSN PPV HD,09/25/2010 19:00,T,
Ohio at Marshall,WSAZ,09/25/2010 19:00,T,
Central Arkansas at Tulsa,,09/25/2010 19:00,W,
Southern Miss at Louisiana Tech,,09/25/2010 19:00,W,
Middle Tennessee at UL-Lafayette,,09/25/2010 19:00,W,
Southeast Louisiana at UL-Monroe,,09/25/2010 19:00,W,
Kentucky at Florida,ESPNU HD,09/25/2010 19:00,T,
Georgia at Mississippi St.,SEC/FSN Regional HD,09/25/2010 19:00,T,
Fresno St. at Ole Miss,SEC/CSS HD,09/25/2010 19:30,T,
South Carolina at Auburn,ESPN HD<br>ESPN 3D,09/25/2010 19:45,T,
Oregon St. at Boise St.,ABC HD,09/25/2010 20:00,T,
Baylor at Rice,CBS College Sports HD,09/25/2010 20:00,T,
Northern Illinois at Minnesota,Big Ten Network HD,09/25/2010 20:30,T,
Memphis at UTEP,,09/25/2010 21:00,W,
West Virginia at LSU,ESPN2 HD,09/25/2010 21:15,T,
New Mexico at UNLV,The mtn. HD,09/25/2010 22:00,T,
California at Arizona,CSN Bay Area Plus<br>Wildcat Sports,09/25/2010 22:00,T,
Oregon at Arizona St.,FSN HD,09/25/2010 22:30,T,
Charleston Southern at Hawai'i,Oceanic PPV HD,09/25/2010 23:30,T,
Texas A&M at Oklahoma St.,ESPN HD,09/30/2010 19:30,T,
BYU at Utah St.,ESPN HD,10/01/2010 20:00,T,
Cal-Poly at Fresno St.,,10/02/2010 00:00,N,
UC-Davis at San Jose St.,,10/02/2010 00:00,N,
Ohio at Eastern Michigan,ESPN Plus,10/02/2010 12:00,T,
Kansas at Baylor,FSN HD,10/02/2010 12:00,T,
Miami (FL) at Clemson,ESPN2 HD<br>ESPN 3D,10/02/2010 12:00,T,
Florida St. at Virginia,ACC Network HD,10/02/2010 12:00,T,
Ohio St. at Illinois,Big Ten Network HD,10/02/2010 12:00,T,
Northwestern at Minnesota,ESPN HD,10/02/2010 12:00,T,
Vanderbilt at Connecticut,Big East Network HD,10/02/2010 12:00,T,
Temple at Army,CBS College Sports HD,10/02/2010 12:00,T,
UL-Monroe at Auburn,ESPNU HD,10/02/2010 12:00,T,
Alcorn St. at Mississippi St.,SEC/FSN Regional HD,10/02/2010 12:00,T,
Kentucky at Ole Miss,SEC Network HD,10/02/2010 12:00,T,
Kent St. at Miami (OH),,10/02/2010 13:00,W,
Idaho at Western Michigan,WAC Sports Network,10/02/2010 14:00,T,
Tulane at Rutgers,,10/02/2010 14:00,W,
TCU at Colorado St.,The mtn. HD,10/02/2010 14:00,T,
Navy at Air Force,Versus HD,10/02/2010 14:30,T,
Tennessee at LSU,CBS HD,10/02/2010 15:30,T,
FIU at Pittsburgh,,10/02/2010 15:30,W,
Michigan at Indiana,ESPNU HD,10/02/2010 15:30,T,
East Carolina at North Carolina,,10/02/2010 15:30,W,
Virginia Tech at NC State,ABC HD,10/02/2010 15:30,T,
Texas vs. Oklahoma<br>(at Dallas, TX),ABC HD/ESPN,10/02/2010 15:30,T
Buffalo at Bowling Green,BCSN,10/02/2010 15:30,T,
Central Michigan at Ball St.,,10/02/2010 15:30,W,
Wisconsin at Michigan St.,ABC HD/ESPN HD,10/02/2010 15:30,T,
Washington St. at UCLA,FSN Regional HD,10/02/2010 15:30,T,
Northern Illinois at Akron,,10/02/2010 18:00,W,
Duke at Maryland,,10/02/2010 18:00,W,
UTEP at New Mexico,The mtn. HD,10/02/2010 18:00,T,
Arizona St. at Oregon St.,FSN Northwest,10/02/2010 18:30,T,
Louisville at Arkansas St.,,10/02/2010 19:00,W,
Wyoming at Toledo,,10/02/2010 19:00,W,
Tulsa at Memphis,,10/02/2010 19:00,W,
SMU at Rice,,10/02/2010 19:00,W,
Georgia Tech at Wake Forest,ESPNU HD,10/02/2010 19:00,T,
Georgia at Colorado,FSN HD,10/02/2010 19:00,T,
Texas Tech at Iowa St.,FOX College Sports,10/02/2010 19:00,T,
FAU at USF,,10/02/2010 19:00,W,
UL-Lafayette at North Texas,Sun Belt Network,10/02/2010 19:30,T,
Stanford at Oregon,ABC HD/ESPN2,10/02/2010 20:00,T,
Washington at USC,ESPN2 HD,10/02/2010 20:00,T,
Marshall at Southern Miss,CBS College Sports HD,10/02/2010 20:00,T,
Boise St. at New Mexico St.,WAC Sports Network,10/02/2010 20:00,T,
Penn St. at Iowa,ESPN HD,10/02/2010 20:00,T,
Notre Dame at Boston College,ABC HD,10/02/2010 20:00,T,
Florida at Alabama,CBS HD,10/02/2010 20:00,T,
Nevada at UNLV,The mtn. HD,10/02/2010 22:00,T,
Louisiana Tech at Hawai'i,Oceanic PPV HD,10/02/2010 23:30,T,
Troy at Middle Tennessee,ESPN2 HD,10/05/2010 20:00,T,
UAB at UCF,ESPN2 HD,10/06/2010 20:00,T,
Nebraska at Kansas St.,ESPN HD,10/07/2010 19:30,T,
Connecticut at Rutgers,ESPN HD,10/08/2010 19:30,T,
Oklahoma St. at UL-Lafayette,ESPN2 HD,10/08/2010 21:00,T,
Western Michigan at Ball St.,ESPN Plus,10/09/2010 12:00,T,
Temple at Northern Illinois,ESPN Plus,10/09/2010 12:00,T,
Syracuse at USF,Big East Network HD,10/09/2010 12:00,T,
Indiana at Ohio St.,ESPN HD<br>ESPN 3D,10/09/2010 12:00,T,
Illinois at Penn St.,ESPN2 HD,10/09/2010 12:00,T,
Minnesota at Wisconsin,Big Ten Network HD,10/09/2010 12:00,T,
Texas Tech vs. Baylor<br>(at Dallas, TX),FSN HD,10/09/2010 12:00,T
Boston College at NC State,ACC Network HD,10/09/2010 12:00,T,
Central Michigan at Virginia Tech,ESPNU HD,10/09/2010 12:00,T,
Tennessee at Georgia,SEC Network HD,10/09/2010 12:00,T,
Colorado St. at Air Force,The mtn. HD,10/09/2010 14:00,T,
Memphis at Louisville,,10/09/2010 14:00,W,
Bowling Green at Ohio,,10/09/2010 14:00,W,
Akron at Kent St.,SportsTime Ohio HD,10/09/2010 15:30,T,
Western Kentucky at FIU,Sun Belt Network,10/09/2010 15:30,T,
UCLA at California,FSN HD,10/09/2010 15:30,T,
Army at Tulane,,10/09/2010 15:30,W,
Pittsburgh at Notre Dame,NBC HD,10/09/2010 15:30,T,
UNLV at West Virginia,Big East Network,10/09/2010 15:30,T,
Michigan St. at Michigan,ABC HD/ESPN HD,10/09/2010 15:30,T,
Clemson at North Carolina,ABC HD/ESPN HD,10/09/2010 15:30,T,
Virginia at Georgia Tech,ESPNU HD,10/09/2010 15:30,T,
Arkansas vs. Texas A&M<br>(at Arlington, TX),ABC HD,10/09/2010 15:30,T
Wyoming at TCU,CBS College Sports HD,10/09/2010 15:30,T,
Alabama at South Carolina,CBS HD,10/09/2010 15:30,T,
Utah St. at Louisiana Tech,ESPN Plus,10/09/2010 16:00,T,
Oregon at Washington St.,Oregon Sports,10/09/2010 17:00,T,
San Diego St. at BYU,The mtn. HD,10/09/2010 18:00,T,
Navy at Wake Forest,,10/09/2010 18:30,W,
Colorado at Missouri,FSN HD,10/09/2010 19:00,T,
Utah at Iowa St.,FOX College Sports,10/09/2010 19:00,T,
Miami (OH) at Cincinnati,,10/09/2010 19:00,W,
Oregon St. at Arizona,Versus HD,10/09/2010 19:00,T,
Arkansas St. at North Texas,,10/09/2010 19:00,W,
FAU at UL-Monroe,,10/09/2010 19:00,W,
Eastern Michigan at Vanderbilt,ESPNU HD,10/09/2010 19:00,T,
Auburn at Kentucky,ESPN2 HD,10/09/2010 19:30,T,
LSU at Florida,ESPN HD,10/09/2010 19:30,T,
East Carolina at Southern Miss,CSS,10/09/2010 19:30,T,
Purdue at Northwestern,Big Ten Network HD,10/09/2010 19:30,T,
Florida St. at Miami (FL),ABC HD,10/09/2010 20:00,T,
Mississippi St. at Houston,CBS College Sports HD,10/09/2010 20:00,T,
Tulsa at SMU,Time Warner-Texas,10/09/2010 20:00,T,
New Mexico at New Mexico St.,Aggie Vision,10/09/2010 20:00,T,
Toledo at Boise St.,WAC Sports Network,10/09/2010 20:00,T,
USC at Stanford,ABC HD,10/09/2010 20:00,T,
Rice at UTEP,,10/09/2010 21:00,W,
Hawai'i at Fresno St.,Oceanic PPV,10/09/2010 22:00,T,
Arizona St. at Washington,FSN Regional,10/09/2010 22:00,T,
San Jose St. at Nevada,ESPNU HD,10/09/2010 22:30,T,
UCF at Marshall,ESPN2 HD,10/13/2010 20:00,T,
Kansas St. at Kansas,FSN HD,10/14/2010 19:30,T,
USF at West Virginia,ESPN HD,10/14/2010 19:30,T,
Cincinnati at Louisville,ESPN HD,10/15/2010 20:00,T,
Pittsburgh at Syracuse,Big East Network HD,10/16/2010 12:00,T,
Arkansas St. at Indiana,ESPNU HD,10/16/2010 12:00,T,
Illinois at Michigan St.,Big Ten Network HD,10/16/2010 12:00,T,
Minnesota at Purdue,ESPN2 HD,10/16/2010 12:00,T,
Missouri at Texas A&M,FSN HD,10/16/2010 12:00,T,
Maryland at Clemson,ACC Network HD,10/16/2010 12:00,T,
Boston College at Florida St.,ESPN HD,10/16/2010 12:00,T,
NC State at East Carolina,CBS College,10/16/2010 12:00,T,
Southern Miss at Memphis,CSS,10/16/2010 12:00,T,
Miami (OH) at Central Michigan,ESPN Plus,10/16/2010 12:00,T,
Vanderbilt at Georgia,SEC Network HD,10/16/2010 12:00,T,
Eastern Michigan at Ball St.,,10/16/2010 13:00,W,
Bowling Green at Temple,,10/16/2010 13:00,W,
Miami (FL) at Duke,,10/16/2010 13:00,W,
Army vs. Rutgers<br>(at East Rutherford, NJ),,10/16/2010 14:00,W
Akron at Ohio,,10/16/2010 14:00,W,
UNLV at Colorado St.,The mtn. HD,10/16/2010 14:00,T,
Western Michigan at Notre Dame,NBC HD,10/16/2010 14:30,T,
Iowa at Michigan,ABC HD/ESPN HD,10/16/2010 15:30,T,
SMU at Navy,CBS College Sports HD,10/16/2010 15:30,T,
Middle Tennessee at Georgia Tech,,10/16/2010 15:30,W,
Wake Forest at Virginia Tech,ESPNU HD,10/16/2010 15:30,T,
Texas Tech at Oklahoma St.,FSN Regional,10/16/2010 15:30,T,
Texas at Nebraska,ABC HD/ESPN HD,10/16/2010 15:30,T,
Buffalo at Northern Illinois,,10/16/2010 15:30,W,
California at USC,FSN HD,10/16/2010 15:30,T,
Houston at Rice,CSS,10/16/2010 15:30,T,
Arkansas at Auburn,CBS HD,10/16/2010 15:30,T,
BYU at TCU,Versus HD,10/16/2010 16:00,T,
UTEP at UAB,,10/16/2010 16:00,W,
Idaho at Louisiana Tech,ESPN Plus,10/16/2010 16:00,T,
North Carolina at Virginia,,10/16/2010 18:00,W,
Utah at Wyoming,The mtn. HD,10/16/2010 18:00,T,
South Carolina at Kentucky,ESPN2 HD,10/16/2010 18:00,T,
McNeese St. at LSU,SEC/FSN Regional HD,10/16/2010 19:00,T,
Mississippi St. at Florida,ESPNU HD,10/16/2010 19:00,T,
Iowa St. at Oklahoma,FSN HD,10/16/2010 19:00,T,
Baylor at Colorado,FOX College Sports,10/16/2010 19:00,T,
Ohio St. at Wisconsin,ESPN HD,10/16/2010 19:00,T,
Tulane at Tulsa,,10/16/2010 19:00,W,
UL-Lafayette at Troy,,10/16/2010 19:00,W,
UL-Monroe at Western Kentucky,,10/16/2010 19:00,W,
Kent St. at Toledo,,10/16/2010 19:00,W,
FIU at North Texas,Sun Belt Network,10/16/2010 19:30,T,
Arizona at Washington St.,Versus HD,10/16/2010 19:30,T,
Boise St. at San Jose St.,WAC Sports Network,10/16/2010 20:00,T,
Air Force at San Diego St.,CBS College Sports HD,10/16/2010 20:00,T,
Ole Miss at Alabama,ESPN2 HD,10/16/2010 21:15,T,
