game,network,time,mediaindicator,
North Carolina at South Carolina,ESPN HD,08/29/2013 18:00,T,
Liberty at Kent St.,ESPN3,08/29/2013 18:00,W,
Presbyterian at Wake Forest,ESPN3,08/29/2013 18:30,W,
Akron at UCF,ESPN3,08/29/2013 19:00,W,
Illinois St. at Ball St.,ESPN3,08/29/2013 19:00,W,
Tulsa at Bowling Green,ESPNU HD,08/29/2013 19:00,T,
Indiana St. at Indiana,BTN HD,08/29/2013 19:00,T,
UNLV at Minnesota,BTN HD,08/29/2013 19:00,T,
Towson at Connecticut,ESPN3,08/29/2013 19:30,W,
Western Carolina at Middle Tennessee,CBS Sports ULive,08/29/2013 19:30,W,
Southern Utah at South Alabama,ESPN3,08/29/2013 19:30,W,
Jackson St. at Tulane,CBS Sports ULive,08/29/2013 20:00,W,
Utah St. at Utah,FOX Sports 1,08/29/2013 20:00,T,
Ole Miss at Vanderbilt,ESPN HD,08/29/2013 21:15,T,
Sacramento St. at San Jose St.,Mountain West Network,08/29/2013 22:00,W,
Rutgers at Fresno St.,ESPNU HD,08/29/2013 22:30,T,
USC at Hawai'i,CBS Sports Network HD,08/29/2013 23:00,T,
Morgan St. at Army,CBS Sports Network HD,08/30/2013 19:00,T,
Samford at Georgia St.,ESPN3,08/30/2013 19:00,W,
Western Michigan at Michigan St.,BTN HD,08/30/2013 20:00,T,
FAU at Miami (FL),ESPNU HD,08/30/2013 20:00,T,
Texas Tech at SMU,ESPN HD,08/30/2013 20:00,T,
Southern at Houston,ESPN3,08/30/2013 20:30,W,
North Dakota St. at Kansas St.,FOX Sports 1,08/30/2013 20:30,T,
Northern Arizona at Arizona,Pac-12 Networks,08/30/2013 22:00,T,
Purdue at Cincinnati,ESPNU HD,08/31/2013 12:00,T,
Elon at Georgia Tech,ESPN3,08/31/2013 12:00,W,
Villanova at Boston College,ESPNEWS,08/31/2013 12:00,T,
William & Mary at West Virginia,FOX Sports 1,08/31/2013 12:00,T,
Toledo at Florida,SEC Network HD,08/31/2013 12:00,T,
Massachusetts at Wisconsin,BTN HD,08/31/2013 12:00,T,
Buffalo at Ohio St.,ESPN2 HD,08/31/2013 12:00,T,
Southern Illinois at Illinois,BTN HD,08/31/2013 12:00,T,
FIU at Maryland,ACC RSNs,08/31/2013 12:30,T,
Louisiana Tech at NC State,ACC Network,08/31/2013 12:30,T,
Rice at Texas A&M,ESPN HD,08/31/2013 13:00,T,
Colgate at Air Force,ROOT Sports,08/31/2013 15:00,T,
BYU at Virginia,ESPNU HD,08/31/2013 15:30,T,
Mississippi St. vs. Oklahoma St.<br>(at Houston, TX),ABC/ESPN2 HD,08/31/2013 15:30,T
Northern Illinois at Iowa,BTN HD,08/31/2013 15:30,T,
Central Michigan at Michigan,BTN HD,08/31/2013 15:30,T,
Syracuse vs. Penn St.<br>(at East Rutherford, NJ),ABC/ESPN2 HD,08/31/2013 15:30,T
Temple at Notre Dame,NBC HD,08/31/2013 15:30,T,
UL-Lafayette at Arkansas,SEC/FSN Regional HD,08/31/2013 16:00,T,
NC Central at Duke,ESPN3,08/31/2013 16:00,W,
Nicholls St. at Oregon,FOX Sports 1,08/31/2013 16:00,T,
Virginia Tech vs. Alabama<br>(at Atlanta, GA),ESPN HD,08/31/2013 17:30,T
Austin Peay at Tennessee,Vol Network PPV,08/31/2013 18:00,T,
Eastern Washington at Oregon St.,Pac-12 Networks,08/31/2013 18:00,T,
Howard at Eastern Michigan,ESPN3,08/31/2013 18:00,W,
UAPB at Arkansas St.,ESPN3,08/31/2013 19:00,W,
UAB at Troy,ESPN3,08/31/2013 19:00,W,
Kentucky vs. Western Kentucky<br>(at Nashville, TN),ESPNEWS,08/31/2013 19:00,T
Texas St. at Southern Miss,CBS Sports ULive,08/31/2013 19:00,W,
McNeese St. at USF,ESPN3,08/31/2013 19:00,W,
Old Dominion at East Carolina,FOX College Sports,08/31/2013 19:00,T,
Miami (OH) at Marshall,CBS Sports Network HD,08/31/2013 19:00,T,
Idaho at North Texas,CBS Sports ULive,08/31/2013 19:00,W,
Murray St. at Missouri,FSN PPV,08/31/2013 19:00,T,
Washington St. at Auburn,ESPNU HD,08/31/2013 19:00,T,
UL-Monroe at Oklahoma,FSN PPV,08/31/2013 19:00,T,
Wofford at Baylor,FSN HD,08/31/2013 19:30,T,
Georgia at Clemson,ABC HD,08/31/2013 20:00,T,
Eastern Illinois at San Diego St.,MW Network,08/31/2013 20:00,W,
UTSA at New Mexico,KASY,08/31/2013 20:00,T,
Northern Iowa at Iowa St.,Cyclones.TV,08/31/2013 20:00,T,
New Mexico St. at Texas,Longhorn Network,08/31/2013 20:00,T,
Wyoming at Nebraska,BTN HD,08/31/2013 20:00,T,
LSU vs. TCU<br>(at Arlington, TX),ESPN HD,08/31/2013 21:00,T
Nevada at UCLA,Pac-12 Networks,08/31/2013 22:00,T,
