game,network,time,mediaindicator
Oregon St. at Wasington,FSN Northwest,11/5/2005 6:30:00 PM,T
Stanford at USC,TBS,11/5/2005 10:00:00 PM,T
USC at California,ABC,11/12/2005 3:30:00 PM,T
Stanford at Oregon St.,FSN Bay Area<br>Beaver Sports Net,11/12/2005 6:30:00 PM,T
Arizona St. at UCLA,ABC,11/12/2005 7:00:00 PM,T
Oregon at Washington St.,FSN,11/12/2005 10:15:00 PM,T
Washington St. at Washington,FSN HD,11/19/2005 3:15:00 PM,T
Oregon St. at Oregon,FSN,11/19/2005 6:45:00 PM,T
California at Stanford,ABC,11/19/2005 7:00:00 PM,T
Fresno St. at USC,FSN,11/19/2005 10:15:00 PM,T
Arizona at Arizona St.,FSN,11/25/2005 3:00:00 PM,T
Notre Dame at Stanford,ABC,11/26/2005 8:00:00 PM,T
UCLA at USC,ABC HD,12/3/2005 4:30:00 PM,T
UCF at South Carolina,ESPN HD,9/1/2005 7:30:00 PM,T
UAB at Tennessee,JP Sports,9/3/2005 12:30:00 PM,T
Boise St. at Georgia,ESPN HD,9/3/2005 5:30:00 PM,T
Wyoming at Florida ,Sun PPV,9/3/2005 6:00:00 PM,T
Middle Tennessee at Alabama,Crimson Tide PPV,9/3/2005 7:00:00 PM,T
Georgia Tech at Auburn,ESPN HD,9/3/2005 8:45:00 PM,T
Louisville at Kentucky,ESPN,9/4/2005 3:30:00 PM,T
Mississippi St. at Auburn,JP Sports,9/10/2005 12:30:00 PM,T
Georgia at South Carolina,ESPN HD,9/10/2005 5:30:00 PM,T
Louisiana Tech at Florida,Sun PPV,9/10/2005 6:00:00 PM,T
Southern Miss at Alabama,ESPN2,9/10/2005 7:30:00 PM,T
Arizona St. vs. LSU<br>(at Tempe, AZ),ESPN,9/10/2005 9:00:00 PM,T
Mississippi St. at Vanderbilt,JP Sports,9/17/2005 12:30:00 PM,T
Ball St. at Auburn,CSS PPV,9/17/2005 2:30:00 PM,T
UL-Monroe at Georgia,CSS PPV,9/17/2005 1:00:00 PM,T
Alabama at South Carolina,CBS,9/17/2005 3:30:00 PM,T
Tennessee at Florida,CBS HD,9/17/2005 8:00:00 PM,T
Arkansas at Alabama,JP Sports,9/24/2005 12:30:00 PM,T
Florida at Kentucky,CBS HD,9/24/2005 3:30:00 PM,T
Troy at South Carolina,ESPN Plus PPV,9/24/2005 7:00:00 PM,T
Georgia at Mississippi St.,ESPN HD,9/24/2005 7:45:00 PM,T
Tennessee at LSU,ESPN2 HD,9/26/2005 7:45:00 PM,T
Ole Miss at Tennessee,JP Sports,10/1/2005 12:30:00 PM,T
LSU at Mississippi St.,ESPN Plus PPV,10/1/2005 2:30:00 PM,T
Florida at Alabama,CBS HD,10/1/2005 3:30:00 PM,T
South Carolina at Auburn,ESPN2 HD,10/1/2005 7:00:00 PM,T
Middle Tennessee St. at Vanderbilt,WUXP,10/1/2005 7:00:00 PM,T
Mississippi St. at Florida,JP Sports,10/8/2005 12:30:00 PM,T
Kentucky at South Carolina,ESPN Plus PPV,10/8/2005 1:00:00 PM,T
Georgia at Tennessee,CBS HD,10/8/2005 3:30:00 PM,T
LSU at Vanderbilt,ESPN2 HD,10/8/2005 7:00:00 PM,T
Alabama at Ole Miss,CBS,10/15/2005 12:00:00 PM,T
Florida at LSU,CBS HD,10/15/2005 3:30:00 PM,T
Georgia at Vanderbilt,ESPN2 HD,10/15/2005 7:15:00 PM,T
Arkansas at Georgia,JP Sports,10/22/2005 12:30:00 PM,T
Tennessee at Alabama,CBS HD,10/22/2005 3:30:00 PM,T
Vanderbilt at South Carolina,ESPN Plus PPV,10/22/2005 3:30:00 PM,T
LSU at Auburn,ESPN HD,10/22/2005 7:45:00 PM,T
Ole Miss at Auburn,JP Sports,10/29/2005 12:30:00 PM,T
Utah St. at Alabama,Crimson Tide PPV,10/29/2005 3:00:00 PM,T
Georgia vs. Florida<br>(at Jacksonville, FL),CBS HD,10/29/2005 3:30:00 PM,T
South Carolina at Tennessee,ESPN2 HD,10/29/2005 7:45:00 PM,T
North Texas at LSU,TigerVision PPV,10/29/2005 8:00:00 PM,T
South Carolina at Arkansas,JP Sports,11/5/2005 12:30:00 PM,T
Alabama at Mississippi St.,CBS HD,11/5/2005 3:30:00 PM,T
Vanderbilt at Florida,ESPN2 HD,11/5/2005 7:15:00 PM,T
Florida at South Carolina,JP Sports,11/12/2005 12:30:00 PM,T
Memphis at Tennessee,CSS PPV,11/12/2005 2:00:00 PM,T
LSU at Alabama,CBS HD,11/12/2005 3:30:00 PM,T
Auburn at Georgia,ESPN HD,11/12/2005 7:45:00 PM,T
Kentucky at Georgia,JP Sports,11/19/2005 12:30:00 PM,T
Vanderbilt at Tennessee,JP Sports,11/19/2005 12:30:00 PM,T
Alabama at Auburn,CBS HD,11/19/2005 3:30:00 PM,T
Clemson at South Carolina,ESPN2,11/19/2005 7:00:00 PM,T
LSU at Ole Miss,ESPN2,11/19/2005 7:45:00 PM,T
Arkansas at LSU,CBS,11/25/2005 2:30:00 PM,T
Tennessee at Kentucky,JP Sports,11/26/2005 12:30:00 PM,T
Florida St. at Florida,CBS HD,11/26/2005 3:30:00 PM,T
Georgia at Georgia Tech,ABC,11/26/2005 8:00:00 PM,T
SEC Championship<br>LSU vs. Georgia<br>(at Atlanta, GA),CBS HD,12/3/2005 6:00:00 PM,T
Northwestern St. at UL-Monroe,CST,9/1/2005 8:00:00 PM,T
Portland St. at Oregon St.,Beaver Sports,9/3/2005 6:00:00 PM,T
Oklahoma St. at FAU,ESPN2 HD,9/8/2005 7:00:00 PM,T
North Texas at Middle Tennessee St.,ESPN Plus,9/10/2005 7:00:00 PM,T
UAB at Troy,ESPN Plus,9/10/2005 8:00:00 PM,T
Northwestern St. at UL-Lafayette,KLAF,9/17/2005 8:00:00 PM,T
UL-Monroe at FAU,ESPNU,9/22/2005 7:30:00 PM,T
FIU at Arkansas St.,ESPN Plus,9/24/2005 3:30:00 PM,T
Troy at North Texas,ESPN2,10/4/2005 7:30:00 PM,T
FAU at UL-Lafayette,ESPN Plus,10/6/2005 8:00:00 PM,T
UL-Lafayette at Arkansas St.,ESPNU,10/13/2005 7:30:00 PM,T
Troy at UL-Monroe,ESPN Plus,10/15/2005 3:30:00 PM,T
FIU at Troy,ESPNU,10/20/2005 7:30:00 PM,T
FAU at Arkansas St.,ESPN Plus,10/22/2005 7:00:00 PM,T
Troy at UL-Lafayette,Troy/ISP Sports,10/29/2005 5:00:00 PM,T
FAU at Troy,Troy/ISP Sports,11/5/2005 3:30:00 PM,T
Arkansas St. at Middle Tennessee,Middle Tennessee TV,11/5/2005 5:00:00 PM,T
UL-Lafayette at North Texas,ESPN Plus,11/5/2005 7:00:00 PM,T
FIU at UL-Lafayette,CSS,11/12/2005 7:00:00 PM,T
UL-Lafayette at UL-Monroe,ESPN Plus,11/26/2005 3:30:00 PM,T
Middle Tennessee at Troy,ESPN Plus,11/26/2005 7:00:00 PM,T
USC at Hawai'i,ESPN2,9/3/2005 7:00:00 PM,T
UTEP at New Mexico St.,ESPNU,9/3/2005 10:30:00 PM,T
Washington St. at Nevada,ESPN,9/9/2005 10:00:00 PM,T
Weber St. at Fresno St.,ESPNU,9/10/2005 10:00:00 PM,T
UNLV at Nevada,ESPNU,9/17/2005 10:00:00 PM,T
Bowling Green at Boise St.,ESPN2,9/21/2005 8:00:00 PM,T
California at New Mexico St.,ESPN,9/23/2005 10:00:00 PM,T
UNLV at Utah St.,SportsWest,9/24/2005 8:00:00 PM,T
Hawai'i at Idaho,ESPNU<br>Oceanic PPV<br>Go Vandals TV,9/24/2005 10:00:00 PM,T
Toledo at Fresno St.,ESPN2,9/27/2005 9:00:00 PM,T
Nevada at San Jose St.,ABC,10/1/2005 7:00:00 PM,T
Boise St. at Hawai'i,Oceanic PPV<br>Bronco Sports,10/1/2005 11:59:00 PM,T
San Jose St. at Utah St.,KJZZ,10/8/2005 3:00:00 PM,T
Hawai'i at Louisiana Tech,ESPN Plus,10/8/2005 7:00:00 PM,T
Fresno St. at New Mexico St.,ESPNU<br>SportsWest,10/8/2005 10:00:00 PM,T
San Jose St. at Boise St.,Bronco Sports,10/15/2005 8:00:00 PM,T
New Mexico St. at Hawai'i,Oceanic PPV,10/15/2005 11:59:00 PM,T
Fresno St. at Idaho,KFRE,10/22/2005 5:00:00 PM,T
Hawai'i at San Jose St.,CSN West<br>Oceanic PPV,10/22/2005 6:00:00 PM,T
Boise St. at Utah St.,Bronco Sports<br>KJZZ,10/22/2005 6:30:00 PM,T
Nevada at Boise St.,SportsWest,10/29/2005 3:00:00 PM,T
Fresno St. at Hawai'i,ABC,10/29/2005 7:00:00 PM,T
Idaho at New Mexico St.,Go Vandals TV,10/29/2005 8:00:00 PM,T
Louisiana Tech at Utah St.,ESPN Plus,11/5/2005 3:00:00 PM,T
New Mexico St. at Bronco Sports,Bronco Sports,11/5/2005 3:00:00 PM,T
Hawai'i at Nevada,SportsWest,11/5/2005 4:00:00 PM,T
San Jose St. at Fresno St.,SportsWest,11/5/2005 9:00:00 PM,T
Boise St. at Fresno St.,ESPN HD,11/10/2005 8:00:00 PM,T
UL-Monroe at Middle Tennessee,Middle Tennessee TV,11/12/2005 3:00:00 PM,T
Nevada at New Mexico St.,KREN,11/12/2005 4:00:00 PM,T
Louisiana Tech at Idaho,SportsWest,11/12/2005 5:00:00 PM,T
Utah St. at Hawai'i,Oceanic PPV,11/12/2005 11:00:00 PM,T
Idaho at Boise St.,Bronco Sports,11/19/2005 3:00:00 PM,T
Nevada at Utah St.,KREN,11/19/2005 3:00:00 PM,T
New Mexico St. at San Jose St.,SportsWest,11/19/2005 6:00:00 PM,T
Wisconsin at Hawai'i,ESPN2,11/25/2005 9:00:00 PM,T
Boise St. at Louisiana Tech,SportsWest,11/26/2005 2:00:00 PM,T
Idaho at San Jose St.,CSN West,11/26/2005 6:00:00 PM,T
Fresno St. at Nevada,ESPN2 HD,11/26/2005 7:15:00 PM,T
Louisiana Tech at Fresno St.,ESPN2 HD,12/2/2005 9:00:00 PM,T
San Diego St. at Hawai'i,Oceanic PPV,12/3/2005 11:00:00 PM,T
Portland St. at Boise St.,Bronco Sports,10/8/2005 8:00:00 PM,T
