game,network,time,mediaindicator,
Murray St. at Louisville,ESPNU HD,09/01/2011 18:00,T,
South Carolina St. at Central Michigan,,09/01/2011 19:00,W,
Villanova at Temple,,09/01/2011 19:00,W,
New Hampshire at Toledo,,09/01/2011 19:00,W,
North Texas at FIU,,09/01/2011 19:00,W,
Western Carolina at Georgia Tech,,09/01/2011 19:30,W,
North Carolina Central at Rutgers,,09/01/2011 19:30,W,
Wake Forest at Syracuse,,09/01/2011 20:00,W,
UNLV at Wisconsin,ESPN HD<br>ESPN 3D,09/01/2011 20:00,T,
Mississippi St. at Memphis,FSN HD,09/01/2011 20:00,T,
Montana St. at Utah,KJZZ,09/01/2011 20:00,T,
Bowling Green at Idaho,Altitude,09/01/2011 21:00,T,
Kentucky vs. Western Kentucky<br>(at Nashville, TN),ESPNU HD,09/01/2011 21:15,T
UC-Davis at Arizona St.,Fox Sports Arizona,09/01/2011 22:00,T,
Youngstown St. at Michigan St.,BTN HD,09/02/2011 19:30,T,
TCU at Baylor,ESPN HD,09/02/2011 20:00,T,
Weber St. at Wyoming,,09/03/2011 00:00,N,
Miami (OH) at Missouri,FSN HD,09/03/2011 12:00,T,
Fordham at Connecticut,,09/03/2011 12:00,W,
Northwestern at Boston College,ESPNU HD,09/03/2011 12:00,T,
Akron at Ohio St.,ESPN HD,09/03/2011 12:00,T,
Indiana St. at Penn St.,BTN HD,09/03/2011 12:00,T,
Middle Tennessee at Purdue,BTN HD,09/03/2011 12:00,T,
Tennessee Tech at Iowa,BTN HD,09/03/2011 12:00,T,
Kent St. at Alabama,SEC Network HD,09/03/2011 12:00,T,
Utah St. at Auburn,ESPN2 HD,09/03/2011 12:00,T,
Appalachian St. at Virginia Tech,ACC Network,09/03/2011 12:30,T,
Southeastern Louisiana at Tulane,,09/03/2011 13:30,W,
South Dakota at Air Force,The mtn. HD,09/03/2011 14:00,T,
Minnesota at USC,ABC HD/ESPN2 HD,09/03/2011 15:30,T,
UCLA at Houston,FSN HD,09/03/2011 15:30,T,
Delaware at Navy,CBS Sports Network HD,09/03/2011 15:30,T,
USF at Notre Dame,NBC HD,09/03/2011 15:30,T,
Troy at Clemson,,09/03/2011 15:30,W,
UL-Monroe at Florida St.,ESPNU HD,09/03/2011 15:30,T,
James Madison at North Carolina,ACC/FSN Regional HD,09/03/2011 15:30,T,
Western Michigan at Michigan,ABC HD/ESPN2 HD,09/03/2011 15:30,T,
Arkansas St. at Illinois,BTN HD,09/03/2011 15:30,T,
Chattanooga at Nebraska,BTN HD,09/03/2011 15:30,T,
Sacramento St. at Oregon St.,,09/03/2011 16:00,W,
BYU at Ole Miss,ESPN HD,09/03/2011 16:45,T,
San Jose St. at Stanford,CSN Bay Area,09/03/2011 17:00,T,
Idaho St. at Washington St.,,09/03/2011 17:00,W,
Colorado St. at New Mexico,The mtn. HD,09/03/2011 18:00,T,
William & Mary at Virginia,,09/03/2011 18:00,W,
Buffalo at Pittsburgh,,09/03/2011 18:00,W,
Montana at Tennessee,Vol Network PPV,09/03/2011 18:00,T,
Liberty at NC State,,09/03/2011 18:00,W,
FAU at Florida,ESPNU HD,09/03/2011 19:00,T,
Missouri St. at Arkansas,Razorbacks PPV,09/03/2011 19:00,T,
East Carolina vs. South Carolina<br>(at Charlotte, NC),SEC/FSN Regional HD,09/03/2011 19:00,T
Austin Peay at Cincinnati,Big East HD,09/03/2011 19:00,T,
UL-Lafayette at Oklahoma St.,FOX College Sports,09/03/2011 19:00,T,
Northern Iowa at Iowa St.,,09/03/2011 19:00,W,
McNeese St. at Kansas,,09/03/2011 19:00,W,
Eastern Kentucky at Kansas St.,,09/03/2011 19:00,W,
Texas St. at Texas Tech,,09/03/2011 19:00,W,
Richmond at Duke,,09/03/2011 19:00,W,
Eastern Washington at Washington,ROOT Sports Northwest,09/03/2011 19:00,T,
Fresno St. vs. California<br>(at Candlestick Park),CSN California,09/03/2011 19:00,T,
Charleston Southern at UCF,Bright House Sports,09/03/2011 19:00,T,
Indiana vs. Ball St.<br>(at Indianapolis, IN),,09/03/2011 19:00,W
Howard at Eastern Michigan,,09/03/2011 19:00,W,
Army at Northern Illinois,,09/03/2011 19:00,W,
Elon at Vanderbilt,SEC/CSS HD,09/03/2011 19:30,T,
Ohio at New Mexico St.,Aggie Vision,09/03/2011 20:00,T,
Oregon vs. LSU<br>(at Arlington, TX) ,ABC HD,09/03/2011 20:00,T
Boise St. vs. Georgia<br>(at Atlanta, GA),ESPN HD,09/03/2011 20:00,T
Rice at Texas,Longhorn Network HD,09/03/2011 20:00,T,
Tulsa at Oklahoma,F/X HD,09/03/2011 20:00,T,
Stony Brook at UTEP,Time Warner-El Paso,09/03/2011 21:00,T,
Louisiana Tech at Southern Miss,FSN HD,09/03/2011 22:00,T,
Northern Arizona at Arizona,Wildcats Sports,09/03/2011 22:00,T,
Cal-Poly at San Diego St.,The mtn. HD,09/03/2011 22:00,T,
Colorado at Hawai'i,ESPN2 HD,09/03/2011 22:15,T,
Marshall at West Virginia,ESPN HD,09/04/2011 15:30,T,
SMU at Texas A&M,FSN HD,09/04/2011 19:30,T,
Miami (FL) at Maryland,ESPN HD<br>ESPN 3D,09/05/2011 20:00,T,
Arizona at Oklahoma St.,ESPN HD<br>ESPN 3D,09/08/2011 20:00,T,
FIU at Louisville,ESPN HD,09/09/2011 19:00,T,
Missouri at Arizona St.,ESPN HD,09/09/2011 22:30,T,
UNLV at Washington St.,,09/10/2011 00:00,N,
San Diego St. at Army,CBS Sports Network HD,09/10/2011 12:00,T,
South Dakota St. at Illinois,BTN HD,09/10/2011 12:00,T,
FAU at Michigan St.,ESPN2 HD,09/10/2011 12:00,T,
Toledo at Ohio St.,BTN HD,09/10/2011 12:00,T,
Oregon St. at Wisconsin,ESPN HD,09/10/2011 12:00,T,
Iowa at Iowa St.,FSN HD,09/10/2011 12:00,T,
Mississippi St. at Auburn,SEC Network HD,09/10/2011 12:00,T,
Central Michigan at Kentucky,ESPNU HD,09/10/2011 12:00,T,
Rutgers at North Carolina,ACC Network,09/10/2011 12:30,T,
Maine at Pittsburgh,,09/10/2011 13:00,W,
Norfolk St. at West Virginia,Big East Network,09/10/2011 13:00,T,
Alabama St. at Eastern Michigan,,09/10/2011 13:00,W,
Northern Colorado at Colorado St.,The mtn. HD,09/10/2011 14:00,T,
TCU at Air Force,Versus HD,09/10/2011 15:30,T,
Nevada at Oregon,F/X HD,09/10/2011 15:30,T,
Hawai'i at Washington,ROOT Sports Northwest,09/10/2011 15:30,T,
Tulsa at Tulane,CST,09/10/2011 15:30,T,
Southern Miss at Marshall,CSS,09/10/2011 15:30,T,
Alabama at Penn St.,ABC HD,09/10/2011 15:30,T,
New Mexico St. at Minnesota,BTN HD,09/10/2011 15:30,T,
Virginia Tech at East Carolina,FSN HD,09/10/2011 15:30,T,
Purdue at Rice,CBS Sports Network,09/10/2011 15:30,T,
Eastern Illinois at Northwestern,BTN HD,09/10/2011 15:30,T,
Wofford at Clemson,,09/10/2011 15:30,W,
Stanford at Duke,ESPNU HD,09/10/2011 15:30,T,
NC State at Wake Forest,ACC/FSN Regional HD,09/10/2011 15:30,T,
Cincinnati at Tennessee,ESPN2 HD,09/10/2011 15:30,T,
California at Colorado,FOX College Sports<br>CSN California,09/10/2011 15:30,T,
South Carolina at Georgia,ESPN HD,09/10/2011 16:30,T,
Rhode Island at Syracuse,Big East Network,09/10/2011 16:30,T,
North Dakota at Idaho,SWX,09/10/2011 17:00,T,
Southern Illinois at Ole Miss,CSS PPV,09/10/2011 18:00,T,
Charleston Southern at Florida St.,,09/10/2011 18:00,W,
Stony Brook at Buffalo,Time Warner-Buffalo,09/10/2011 18:00,T,
Temple at Akron,,09/10/2011 18:00,W,
Texas St. at Wyoming,The mtn. HD,09/10/2011 18:00,T,
UL-Lafayette at Kent St.,,09/10/2011 19:00,W,
Gardner-Webb at Ohio,,09/10/2011 19:00,W,
Nicholls St. at Western Michigan,,09/10/2011 19:00,W,
Morgan St. at Bowling Green,Buckeye Cable Sportsnet,09/10/2011 19:00,T,
UTEP at SMU,FSN HD,09/10/2011 19:00,T,
BYU at Texas,ESPN2 HD<br>ESPN 3D,09/10/2011 19:00,T,
Northern Illinois at Kansas,FOX College Sports,09/10/2011 19:00,T,
Ball St. at USF,Big East Network HD,09/10/2011 19:00,T,
Fresno St. at Nebraska,BTN HD,09/10/2011 19:00,T,
