game,network,time,mediaindicator,
South Carolina at NC State,ESPN HD,09/03/2009 19:00,T,
Troy at Bowling Green,BCSN,09/03/2009 19:00,T,
Coastal Carolina at Kent St.,,09/03/2009 19:00,W,
Villanova at Temple,,09/03/2009 19:00,W,
North Texas at Ball St.,ESPNU HD,09/03/2009 19:30,T,
Eastern Kentucky at Indiana,BTN HD,09/03/2009 20:00,T,
North Dakota St. at Iowa St.,Mediacom-Iowa,09/03/2009 20:00,T,
Utah St. at Utah,Mtn,09/03/2009 21:00,T,
Oregon at Boise St.,ESPN HD,09/03/2009 22:15,T,
Tulsa at Tulane,ESPN HD,09/04/2009 20:00,T,
Massachusetts at Kansas St.,,09/05/2009 00:00,N,
New Mexico at Texas A&M,,09/05/2009 00:00,N,
North Dakota at Texas Tech,,09/05/2009 00:00,N,
Youngstown St. at Pittsburgh,,09/05/2009 00:00,N,
Nicholls St. at Air Force ,,09/05/2009 00:00,N,
Sacramento St. at UNLV ,,09/05/2009 00:00,N,
Weber St. at Wyoming ,,09/05/2009 00:00,N,
Central Arkansas at Hawai'i,Oceanic PPV,09/05/2009 01:00,T,
Kentucky vs. Miami (OH)<br>(at Cincinnati, OH),ESPNU HD,09/05/2009 12:00,T
Western Kentucky at Tennessee ,SEC Network HD,09/05/2009 12:00,T,
Minnesota at Syracuse,ESPN2 HD,09/05/2009 12:00,T,
Liberty at West Virginia,Big East Network,09/05/2009 12:00,T,
Northern Iowa at Iowa ,BTN HD,09/05/2009 12:00,T,
Towson at Northwestern ,BTN HD,09/05/2009 12:00,T,
Montana St. at Michigan St. ,BTN HD,09/05/2009 12:00,T,
Navy at Ohio St. ,ESPN HD,09/05/2009 12:00,T,
Akron at Penn St. ,BTN HD,09/05/2009 12:00,T,
Toledo at Purdue ,BTN HD,09/05/2009 12:00,T,
Appalachian St. at East Carolina ,ECU/ISP Sports,09/05/2009 12:00,T,
Jacksonville St. at Georgia Tech,,09/05/2009 13:00,W,
Northeastern at Boston College,,09/05/2009 14:00,W,
Baylor at Wake Forest,ABC HD,09/05/2009 15:30,T,
Nevada at Notre Dame,NBC HD,09/05/2009 15:30,T,
Western Michigan at Michigan ,ABC/ESPN2 HD,09/05/2009 15:30,T,
Georgia at Oklahoma St.,ABC/ESPN2 HD,09/05/2009 15:30,T,
Jackson St. at Mississippi St. ,ESPNU HD,09/05/2009 15:30,T,
Missouri vs. Illinois<br>(at St. Louis, MO),ESPN HD,09/05/2009 15:40,T
Rice at UAB ,CSS,09/05/2009 16:00,T,
Southern Illinois at Marshall ,,09/05/2009 16:30,W,
The Citadel at North Carolina,,09/05/2009 18:00,W,
William & Mary at Virginia,,09/05/2009 18:00,W,
Middle Tennessee at Clemson,,09/05/2009 18:00,W,
Richmond at Duke,,09/05/2009 18:00,W,
Northern Illinois at Wisconsin ,BTN HD,09/05/2009 19:00,T,
Wofford at USF,Big East Network,09/05/2009 19:00,T,
Alcorn St. at Southern Miss ,,09/05/2009 19:00,W,
Army at Eastern Michigan ,,09/05/2009 19:00,W,
Connecticut at Ohio ,,09/05/2009 19:00,W,
Missouri St. at Arkansas ,ARSN PPV,09/05/2009 19:00,T,
Louisiana Tech at Auburn ,ESPNU HD,09/05/2009 19:00,T,
Charleston Southern at Florida,SEC/FOX RSNs HD,09/05/2009 19:00,T,
UL-Monroe at Texas,Fox Sports PPV,09/05/2009 19:00,T,
FAU at Nebraska,Fox Sports PPV,09/05/2009 19:00,T,
Northern Colorado at Kansas,FOX College Sports,09/05/2009 19:00,T,
Northwestern St. at Houston ,,09/05/2009 19:00,W,
Mississippi Valley St. at Arkansas St. ,,09/05/2009 19:00,W,
Southern at UL-Lafayette ,,09/05/2009 19:00,W,
BYU vs. Oklahoma<br>(at Arlington, TX) ,ESPN HD,09/05/2009 19:00,T
Indiana St. at Louisville,WHAS,09/05/2009 19:30,T,
Westerm Carolina at Vanderbilt ,SEC/CSS HD,09/05/2009 19:30,T,
Samford at UCF ,Bright House Sports,09/05/2009 19:30,T,
Stephen F. Austin at SMU ,Texas Channel,09/05/2009 20:00,T,
Idaho at New Mexico St. ,Aggie Vision<br>Go Vandals Network,09/05/2009 20:00,T,
Virginia Tech vs. Alabama<br>(at Atlanta, GA),ABC HD,09/05/2009 20:00,T
Buffalo at UTEP,CBS College HD,09/05/2009 21:00,T,
UC-Davis at Fresno St. ,,09/05/2009 22:00,W,
Ole Miss at Memphis,ESPN HD,09/06/2009 15:30,T,
Colorado St. at Colorado,FSN HD,09/06/2009 19:00,T,
Cincinnati at Rutgers,ESPN HD,09/07/2009 16:00,T,
Miami (FL) at Florida St.,ESPN HD,09/07/2009 20:00,T,
Clemson at Georgia Tech,ESPN HD,09/10/2009 19:30,T,
Colorado at Toledo,ESPN HD,09/11/2009 21:00,T,
Rice at Texas Tech ,,09/12/2009 00:00,N,
Weber St. at Colorado St. ,,09/12/2009 00:00,N,
Southern Utah at San Diego St. ,,09/12/2009 00:00,N,
Prairie View A&M at New Mexico St.,,09/12/2009 00:00,N,
Troy at Florida ,SEC Network HD,09/12/2009 12:00,T,
Pittsburgh at Buffalo ,ESPN Plus,09/12/2009 12:00,T,
North Carolina at Connecticut ,ESPNU HD,09/12/2009 12:00,T,
Western Michigan at Indiana ,BTN HD,09/12/2009 12:00,T,
Central Michigan at Michigan St. ,ESPN2 HD,09/12/2009 12:00,T,
Eastern Michigan at Northwestern ,BTN HD,09/12/2009 12:00,T,
Syracuse at Penn St. ,BTN HD,09/12/2009 12:00,T,
Fresno St. at Wisconsin ,ESPN HD,09/12/2009 12:00,T,
Stanford at Wake Forest ,Raycom HD,09/12/2009 12:00,T,
Iowa at Iowa St.,FSN HD,09/12/2009 12:00,T,
Duke at Army,CBS College HD,09/12/2009 12:00,T,
Marshall at Virginia Tech ,,09/12/2009 13:30,W,
Arkansas St. at Nebraska ,Fox Sports PPV,09/12/2009 14:00,T,
Kent St. at Boston College ,,09/12/2009 14:00,W,
Morgan St. at Akron ,,09/12/2009 14:00,W,
Notre Dame at Michigan ,ABC HD,09/12/2009 15:30,T,
Howard at Rutgers ,Big East Network,09/12/2009 15:30,T,
East Carolina at West Virginia ,,09/12/2009 15:30,W,
TCU at Virginia ,ESPNU HD,09/12/2009 15:30,T,
Houston at Oklahoma St.,FSN HD,09/12/2009 15:30,T,
BYU at Tulane,ESPN2 HD,09/12/2009 15:30,T,
Texas at Wyoming,Versus HD,09/12/2009 15:30,T,
Louisiana Tech at Navy,CBS College HD,09/12/2009 15:30,T,
SMU at UAB ,,09/12/2009 16:00,W,
UCLA at Tennessee ,ESPN HD,09/12/2009 16:00,T,
Jacksonville St. at Florida St. ,,09/12/2009 18:00,W,
James Madison at Maryland ,,09/12/2009 18:00,W,
Murray State at NC State ,,09/12/2009 18:00,W,
Idaho St. at Oklahoma ,Fox Sports PPV,09/12/2009 19:00,T,
Bowling Green at Missouri ,Fox Sports PPV,09/12/2009 19:00,T,
Southern Miss at UCF,,09/12/2009 19:00,W,
New Hampshire at Ball St. ,,09/12/2009 19:00,W,
FIU at Alabama ,Crimson Tide PPV,09/12/2009 19:00,T,
Mississippi St. at Auburn,SEC/FOX RSNs HD,09/12/2009 19:00,T,
Memphis at Middle Tennessee ,CSS,09/12/2009 19:00,T,
Ohio at North Texas ,KTXA,09/12/2009 19:00,T,
Kansas St. at UL-Lafayette ,,09/12/2009 19:00,W,
Texas Southern at UL-Monroe ,,09/12/2009 19:00,W,
Vanderbilt at LSU ,ESPNU HD,09/12/2009 19:00,T,
South Carolina at Georgia ,ESPN2 HD,09/12/2009 19:00,T,
Illinois St. at Illinois,BTN HD,09/12/2009 19:00,T,
Air Force at Minnesota,BTN HD,09/12/2009 19:00,T,
Kansas at UTEP,CBS College HD,09/12/2009 19:30,T,
USF at Western Kentucky ,ESPN Plus,09/12/2009 19:30,T,
Western Illinois at Northern Illinois ,CSN Chicago,09/12/2009 19:30,T,
Southeast Missouri St. at Cincinnati ,Fox Sports Ohio,09/12/2009 19:30,T,
Miami (OH) at Boise St. ,KTVB,09/12/2009 20:00,T,
USC at Ohio St.,ESPN HD,09/12/2009 20:00,T,
Tulsa at New Mexico,Mtn,09/12/2009 20:00,T,
Utah at San Jose St.,ESPN HD,09/12/2009 22:30,T,
Oregon St. at UNLV,CBS College HD,09/12/2009 23:00,T,
Georgia Tech at Miami (FL),ESPN HD,09/17/2009 19:30,T,
Boise St. at Fresno St.,ESPN HD,09/18/2009 21:00,T,
Rice at Oklahoma St. ,,09/19/2009 00:00,N,
Utah St. at Texas A&M ,,09/19/2009 00:00,N,
Nevada at Colorado St. ,,09/19/2009 00:00,N,
Texas St. at TCU ,,09/19/2009 00:00,N,
Nicholls St. at Louisiana Tech ,,09/19/2009 00:00,N,
North Texas at Alabama ,SEC Network HD,09/19/2009 12:00,T,
Ohio St. vs. Toledo<br>(at Cleveland, OH),ESPN Plus,09/19/2009 12:00,T
Ball St. at Army,CBS College HD,09/19/2009 12:00,T,
Duke at Kansas ,Versus HD,09/19/2009 12:00,T,
Eastern Michigan at Michigan ,BTN HD,09/19/2009 12:00,T,
California at Minnesota ,ESPN HD,09/19/2009 12:00,T,
Temple at Penn St. ,BTN HD,09/19/2009 12:00,T,
Northern Illinois at Purdue ,BTN HD,09/19/2009 12:00,T,
Wofford at Wisconsin ,BTN HD,09/19/2009 12:00,T,
Louisville at Kentucky ,ESPNU HD,09/19/2009 12:00,T,
Boston College at Clemson ,Raycom HD,09/19/2009 12:00,T,
East Carolina at North Carolina ,ESPN2 HD,09/19/2009 12:00,T,
Furman at Missouri ,Fox Sports PPV,09/19/2009 14:00,T,
Tulsa at Oklahoma,FSN HD,09/19/2009 15:30,T,
Arizona at Iowa ,ABC/ESPN2 HD,09/19/2009 15:30,T,
Indiana at Akron ,ESPNU HD,09/19/2009 15:30,T,
Alcorn St. at Central Michigan ,,09/19/2009 15:30,W,
Middle Tennessee at Maryland ,,09/19/2009 15:30,W,
Nebraska at Virginia Tech ,ABC/ESPN2 HD,09/19/2009 15:30,T,
Wyoming at Colorado ,FOX College Sports,09/19/2009 15:30,T,
Michigan St. at Notre Dame,NBC HD,09/19/2009 15:30,T,
Virginia at Southern Miss,CBS College HD,09/19/2009 15:30,T,
UAB at Troy ,Troy Sports,09/19/2009 15:30,T,
Tennessee at Florida ,CBS HD,09/19/2009 15:30,T,
San Diego St. at Idaho ,4SD,09/19/2009 17:00,T,
Connecticut at Baylor ,,09/19/2009 17:00,W,
FIU at Rutgers ,Big East Network,09/19/2009 17:00,T,
Navy at Pittsburgh ,,09/19/2009 18:00,W,
Elon at Wake Forest ,,09/19/2009 18:00,W,
Gardner-Webb at NC State ,,09/19/2009 18:00,W,
Bowling Green at Marshall ,WSAZ,09/19/2009 19:00,T,
Northwestern at Syracuse ,Time Warner-Central NY,09/19/2009 19:00,T,
Charleston Southern at USF ,,09/19/2009 19:00,W,
Iowa St. at Kent St. ,,09/19/2009 19:00,W,
Cal-Poly at Ohio ,,09/19/2009 19:00,W,
Florida St. at BYU,Versus HD,09/19/2009 19:00,T,
FAU at South Carolina ,Gamecocks PPV,09/19/2009 19:00,T,
Mississippi St. at Vanderbilt,SEC/FOX RSNs HD,09/19/2009 19:00,T,
UL-Lafayette at LSU ,ESPNU HD,09/19/2009 19:00,T,
Miami (OH) at Western Michigan ,,09/19/2009 19:00,W,
SE Louisiana at Ole Miss ,SEC/CSS HD,09/19/2009 19:30,T,
Air Force at New Mexico,CBS College HD,09/19/2009 19:30,T,
Buffalo at UCF ,Bright House Sports,09/19/2009 19:30,T,
Georgia at Arkansas ,ESPN HD,09/19/2009 19:45,T,
West Virginia at Auburn ,ESPN2 HD,09/19/2009 19:45,T,
UTEP at New Mexico St.,Aggie Vision,09/19/2009 20:00,T,
UT-Martin at Memphis ,,09/19/2009 20:00,W,
Texas Tech at Texas,ABC HD,09/19/2009 20:00,T,
Hawai'i at UNLV,Mtn<br>CBS College,09/19/2009 23:00,T,
Ole Miss at South Carolina ,ESPN HD,09/24/2009 19:30,T,
Missouri at Nevada ,ESPN HD,09/25/2009 21:00,T,
Tennessee Tech at Kansas St. ,,09/26/2009 00:00,N,
UAB at Texas A&M ,,09/26/2009 00:00,N,
Grambling at Oklahoma St. ,,09/26/2009 00:00,N,
UNLV at Wyoming ,,09/26/2009 00:00,N,
UL-Monroe at FAU,,09/26/2009 00:00,N,
Cal-Poly at San Jose St. ,,09/26/2009 00:00,N,
LSU at Mississippi St. ,SEC Network HD,09/26/2009 12:00,T,
Southern Miss at Kansas,FSN HD,09/26/2009 12:00,T,
Buffalo at Temple ,ESPN Plus,09/26/2009 12:00,T,
Michigan St. at Wisconsin ,ESPN HD,09/26/2009 12:00,T,
Indiana at Michigan ,ESPN2 HD,09/26/2009 12:00,T,
Minnesota at Northwestern ,BTN HD,09/26/2009 12:00,T,
Fresno St. at Cincinnati ,Big East Network,09/26/2009 12:00,T,
Rhode Island at Connecticut ,,09/26/2009 12:00,W,
USF at Florida St. ,ESPNU HD,09/26/2009 12:00,T,
North Carolina at Georgia Tech ,Raycom HD,09/26/2009 12:00,T,
Marshall at Memphis ,CSS,09/26/2009 13:00,T,
Wake Forest at Boston College ,,09/26/2009 14:00,W,
San Diego St. at Air Force ,Mtn,09/26/2009 14:00,T,
Western Kentucky at Navy ,CBS College HD,09/26/2009 15:30,T,
TCU at Clemson ,,09/26/2009 15:30,W,
Rutgers at Maryland ,,09/26/2009 15:30,W,
Pittsburgh at NC State ,ESPNU HD,09/26/2009 15:30,T,
Miami (FL) at Virginia Tech ,ABC/ESPN HD,09/26/2009 15:30,T,
Illinois at Ohio St. ,ABC/ESPN HD,09/26/2009 15:30,T,
UTEP at Texas ,FSN HD,09/26/2009 15:30,T,
UCF at East Carolina ,ECU/ISP Sports<br>Bright House Sports,09/26/2009 15:30,T,
McNeese St. at Tulane ,,09/26/2009 15:30,W,
Akron at Central Michigan ,Fox Sports Ohio,09/26/2009 15:30,T,
Idaho at Northern Illinois ,CSN Chicago,09/26/2009 15:30,T,
Arkansas at Alabama ,CBS HD,09/26/2009 15:30,T,
Troy at Arkansas St. ,Sun Belt Network,09/26/2009 16:30,T,
Florida at Kentucky ,ESPN2 HD,09/26/2009 18:00,T,
Colorado St. at BYU ,Mtn,09/26/2009 18:00,T,
Ohio at Tennessee ,Vol Network PPV,09/26/2009 19:00,T,
Middle Tennessee at North Texas ,,09/26/2009 19:00,W,
Toledo at FIU,,09/26/2009 19:00,W,
Ball St. at Auburn ,SEC/FOX RSNs HD,09/26/2009 19:00,T,
Arizona St. at Georgia ,ESPNU HD,09/26/2009 19:00,T,
Hofstra at Western Michigan ,,09/26/2009 19:00,W,
Miami (OH) at Kent St. ,,09/26/2009 19:00,W,
Boise St. at Bowling Green ,KTVB,09/26/2009 19:00,T,
Maine at Syracuse ,Time Warner-Central NY,09/26/2009 19:00,T,
Northwestern St. at Baylor ,,09/26/2009 19:00,W,
Army at Iowa St. ,,09/26/2009 19:00,W,
UL-Lafayette at Nebraska,Fox Sports PPV,09/26/2009 19:00,T,
NC Central at Duke ,,09/26/2009 19:00,W,
Louisville at Utah ,CBS College HD,09/26/2009 19:30,T,
