game,network,time,mediaindicator,
Abilene Christian at Georgia St.,ESPNU HD,08/27/2014 19:00,T,
Texas A&M at South Carolina,SEC Network,08/28/2014 18:00,T,
Chattanooga at Central Michigan,ESPN3,08/28/2014 19:00,W,
Presbyterian at Northern Illinois,ESPN3,08/28/2014 19:00,W,
Wake Forest at UL-Monroe,ESPNU HD,08/28/2014 19:00,T,
Eastern Illinois at Minnesota,BTN HD,08/28/2014 19:00,T,
Howard at Akron,ESPN3,08/28/2014 19:00,W,
Idaho St. at Utah,Pac-12 Networks,08/28/2014 19:30,T,
Ole Miss vs. Boise St.<br>(at Atlanta, GA),ESPN HD,08/28/2014 20:00,T
Cal Poly at New Mexico St.,AggieVision,08/28/2014 20:00,T,
Tulane at Tulsa,CBS Sports Network HD,08/28/2014 20:00,T,
Temple at Vanderbilt,SEC Network,08/28/2014 21:15,T,
Rutgers vs. Washington St.<br>(at Seattle, WA),FOX Sports 1,08/28/2014 22:00,T
North Dakota at San Jose St.,ESPN3,08/28/2014 22:00,W,
Weber St. at Arizona St.,Pac-12 Networks,08/28/2014 22:30,T,
BYU at Connecticut,ESPN HD,08/29/2014 19:00,T,
Villanova at Syracuse,ESPN3,08/29/2014 19:30,W,
Jacksonville St. at Michigan St.,BTN HD,08/29/2014 19:30,T,
Bowling Green at Western Kentucky,CBS Sports Network HD,08/29/2014 19:30,T,
UTSA at Houston,ESPNU HD,08/29/2014 21:00,T,
Colorado St. vs. Colorado<br>(at Denver, CO),FOX Sports 1,08/29/2014 21:00,T
UNLV at Arizona,ESPN HD,08/29/2014 22:30,T,
Penn St. vs. UCF<br>(at Dublin, Ireland),ESPN2 HD,08/30/2014 08:30,T
North Dakota St. at Iowa St.,FOX Sports 1,08/30/2014 12:00,T,
Delaware at Pittsburgh,ESPN3,08/30/2014 12:00,W,
UCLA at Virginia,ESPN HD,08/30/2014 12:00,T,
Appalachian St. at Michigan,ESPN2 HD,08/30/2014 12:00,T,
Youngstown St. at Illinois,BTN HD,08/30/2014 12:00,T,
Indiana St. at Indiana,ESPNEWS,08/30/2014 12:00,T,
Northern Iowa at Iowa,BTN HD,08/30/2014 12:00,T,
Western Michigan at Purdue,ESPNU HD,08/30/2014 12:00,T,
Troy at UAB,FOX College Sports,08/30/2014 12:00,T,
Ohio St. vs. Navy<br>(at Baltimore, MD),CBS Sports Network HD,08/30/2014 12:00,T
UT-Martin at Kentucky,SEC Network,08/30/2014 12:00,T,
Wofford at Georgia Tech,ACC RSNs,08/30/2014 12:30,T,
Georgia Southern at NC State,ACC Network HD,08/30/2014 12:30,T,
Colgate at Ball St.,ESPN3,08/30/2014 14:00,W,
Nicholls St. at Air Force,ESPN3,08/30/2014 14:00,W,
Boston College at Massachusetts,ESPN3,08/30/2014 15:00,W,
Southern Utah at Nevada,MW Network,08/30/2014 15:00,W,
Marshall at Miami (OH),ESPN3,08/30/2014 15:30,W,
Rice at Notre Dame,NBC HD,08/30/2014 15:30,T,
South Dakota St. at Missouri,ESPNU HD,08/30/2014 15:30,T,
West Virginia vs. Alabama<br>(at Atlanta, GA),ABC/ESPN2 HD,08/30/2014 15:30,T
FAU at Nebraska,BTN HD,08/30/2014 15:30,T,
California at Northwestern,ABC/ESPN2 HD,08/30/2014 15:30,T,
James Madison at Maryland,BTN HD,08/30/2014 15:30,T,
Hampton at Old Dominion,American Sports Network,08/30/2014 15:30,T,
Duquesne at Buffalo,ESPN3,08/30/2014 15:30,W,
UC Davis at Stanford,Pac-12 Networks,08/30/2014 16:00,T,
William & Mary at Virginia Tech,ESPNEWS,08/30/2014 16:00,T,
Arkansas at Auburn,SEC Network,08/30/2014 16:00,T,
Portland St. at Oregon St.,Pac-12 Networks,08/30/2014 16:00,T,
Montana at Wyoming,ROOT Sports,08/30/2014 16:00,T,
