game,network,time,mediaindicator,
Illinois St. at Eastern Michigan,CSN Chicago,09/08/2012 13:00,T,
Austin Peay at Virginia Tech,ESPN3,09/08/2012 13:30,W,
North Carolina at Wake Forest,ACC RSNs HD,09/08/2012 15:00,T,
Weber St. at BYU,BYUtv HD,09/08/2012 15:00,T,
Eastern Washington at Washington St.,Pac-12 Networks HD,09/08/2012 15:00,T,
Southern Utah at California,Pac-12 Networks HD,09/08/2012 15:00,T,
Sacramento St. at Colorado,Pac-12 Networks HD,09/08/2012 15:00,T,
Purdue at Notre Dame,NBC HD,09/08/2012 15:30,T,
Iowa St. at Iowa,BTN HD,09/08/2012 15:30,T,
Air Force at Michigan,ABC HD,09/08/2012 15:30,T,
Western Kentucky at Alabama,SEC Network HD,09/08/2012 15:30,T,
Missouri St. at Louisville,Big East Network,09/08/2012 15:30,T,
USC vs. Syracuse<br>(at East Rutherford, NJ),ABC HD,09/08/2012 15:30,T
Indiana at Massachusetts,ESPN3,09/08/2012 15:30,W,
USF at Nevada,CBS Sports Network HD,09/08/2012 15:30,T,
Rice at Kansas,FSN HD,09/08/2012 15:30,T,
Florida at Texas A&M,ESPN HD,09/08/2012 15:30,T,
Howard at Rutgers,Big East Network HD,09/08/2012 15:30,T,
Michigan St. at Central Michigan,ESPNU HD,09/08/2012 15:30,T,
Georgia St. at Tennessee,Vol Network PPV,09/08/2012 16:00,T,
Wisconsin at Oregon St.,F/X HD,09/08/2012 16:00,T,
Nicholls St. at South Alabama,,09/08/2012 17:00,W,
Akron at FIU,ESPN3,09/08/2012 18:00,W,
Morgan St. at Buffalo,Time Warner - Buffalo,09/08/2012 18:00,T,
Savannah St. at Florida St.,ESPN3,09/08/2012 18:00,W,
Fresno St. at Oregon,Pac-12 Networks HD,09/08/2012 18:30,T,
Washington at LSU,ESPN HD,09/08/2012 19:00,T,
UTEP at Ole Miss,SEC/FOX RSNs HD,09/08/2012 19:00,T,
UL-Monroe at Arkansas,ESPNU HD,09/08/2012 19:00,T,
Idaho at Bowling Green,BCSN,09/08/2012 19:00,T,
North Dakota St. at Colorado St.,KTVD,09/08/2012 19:00,T,
Texas Tech at Texas St.,ESPN3,09/08/2012 19:00,W,
Memphis at Arkansas St.,ESPN3,09/08/2012 19:00,W,
Eastern Illinois at Western Michigan,ESPN3,09/08/2012 19:00,W,
UT-Martin at Northern Illinois,ESPN3,09/08/2012 19:00,W,
New Mexico St. at Ohio,ESPN3,09/08/2012 19:00,W,
Western Carolina at Marshall,FOX College Sports,09/08/2012 19:00,T,
Presbyterian at Georgia Tech,ESPN3,09/08/2012 19:00,W,
Florida A&M at Oklahoma,FSN PPV,09/08/2012 19:00,T,
Grambling at TCU,FOX Sports Regional,09/08/2012 19:00,T,
FAU at Middle Tennessee,,09/08/2012 19:00,W,
Texas Southern at North Texas,KTXA,09/08/2012 19:00,T,
UL-Lafayette at Troy,ESPN3,09/08/2012 19:00,W,
Army at San Diego St.,NBC Sports Network HD,09/08/2012 19:30,T,
Kent St. at Kentucky,SEC/CSS HD,09/08/2012 19:30,T,
Nebraska at UCLA,FOX HD,09/08/2012 19:30,T,
Georgia at Missouri,ESPN2 HD,09/08/2012 19:45,T,
Vanderbilt at Northwestern,BTN HD,09/08/2012 20:00,T,
Stephen F. Austin at SMU,Time Warner-Texas,09/08/2012 20:00,T,
Louisiana Tech at Houston,CBS Sports Network HD,09/08/2012 20:00,T,
UC-Davis at San Jose St.,,09/08/2012 20:00,W,
New Mexico at Texas,Longhorn Network HD,09/08/2012 20:00,T,
Duke at Stanford,Pac-12 Networks HD,09/08/2012 22:30,T,
Oklahoma St. at Arizona,Pac-12 Networks HD,09/08/2012 22:30,T,
Illinois at Arizona St.,ESPN HD,09/08/2012 22:30,T,
Rutgers at USF,ESPN HD,09/13/2012 19:30,T,
Washington St. at UNLV,ESPN HD,09/14/2012 21:00,T,
Cal-Poly at Wyoming,,09/15/2012 00:00,N,
Bethune-Cookman at Miami (FL),ESPN3,09/15/2012 12:00,W,
Virginia Tech at Pittsburgh,ESPNU HD,09/15/2012 12:00,T,
Northern Illinois at Army,CBS Sports Network HD,09/15/2012 12:00,T,
Charleston Southern at Illinois,BTN HD,09/15/2012 12:00,T,
Western Michigan at Minnesota,BTN HD,09/15/2012 12:00,T,
Arkansas St. at Nebraska,ESPN2 HD,09/15/2012 12:00,T,
California at Ohio St.,ABC HD,09/15/2012 12:00,T,
Eastern Michigan at Purdue,BTN HD,09/15/2012 12:00,T,
UL-Monroe at Auburn,SEC Network HD,09/15/2012 12:00,T,
Wake Forest at Florida St.,ESPN HD<br>ESPN 3D,09/15/2012 12:00,T,
