game,network,time,mediaindicator,
UTEP at Buffalo,Time Warner-NY,08/28/2008 19:00,T,
Northeastern at Ball St.,Web Video Available,08/28/2008 19:00,W,
Indiana St. at Eastern Michigan,Web Video Available,08/28/2008 19:00,W,
Eastern Illinois at Central Michigan,Web Video Available,08/28/2008 19:00,W,
Vanderbilt at Miami (OH),ESPNU HD,08/28/2008 19:30,T,
Troy at Middle Tennessee,ESPN Plus,08/28/2008 19:30,T,
Hofstra at Connecticut,Big East Network,08/28/2008 19:30,T,
Jacksonville St. at Georgia Tech,ESPN360,08/28/2008 19:30,W,
Charleston Southern at Miami (FL),ESPN360,08/28/2008 19:30,W,
Eastern Kentucky at Cincinnati,Web Video Available,08/28/2008 19:30,W,
Wake Forest at Baylor,FSN HD,08/28/2008 20:00,T,
South Dakota St. at Iowa St.,FOX College Sports,08/28/2008 20:00,T,
NC State at South Carolina,ESPN HD,08/28/2008 20:00,T,
Temple at Army,ESPN Classic,08/29/2008 19:00,T,
SMU at Rice,ESPN HD,08/29/2008 20:00,T,
McNeese St. at North Carolina,,08/30/2008 00:00,N,
FIU at Kansas,,08/30/2008 00:00,N,
North Texas at Kansas St.,,08/30/2008 00:00,N,
Arkansas St. at Texas A&M,,08/30/2008 00:00,N,
Eastern Washington at Texas Tech,,08/30/2008 00:00,N,
Southern Utah at Air Force,,08/30/2008 00:00,N,
Utah St. at UNLV,,08/30/2008 00:00,N,
Memphis at Ole Miss,,08/30/2008 00:00,N,
Appalachian St. at LSU,ESPN Classic,08/30/2008 11:00,T,
Virginia Tech at East Carolina,ESPN HD,08/30/2008 12:00,T,
Syracuse at Northwestern,ESPN2 HD,08/30/2008 12:00,T,
Western Kentucky at Indiana,Big Ten Network,08/30/2008 12:00,T,
Maine at Iowa,Big Ten Network HD,08/30/2008 12:00,T,
Youngstown St. at Ohio St.,Big Ten Network HD,08/30/2008 12:00,T,
Coastal Carolina at Penn St.,Big Ten Network HD,08/30/2008 12:00,T,
Akron at Wisconsin,Big Ten Network,08/30/2008 12:00,T,
