game,network,time,mediaindicator
Buffalo at Rutgers,ESPN Plus,8/30/2007 7:00:00 PM,T
SE Missouri St. at Cincinnati,ESPN360,8/30/2007 7:00:00 PM,W
Miami (OH) at Ball St.,Comcast Local,8/30/2007 7:00:00 PM,T
Tulsa at UL-Monroe,ESPN2 HD,8/30/2007 7:00:00 PM,T
Murray St. at Louisville,ESPNU,8/30/2007 7:30:00 PM,T
Kent St. at Iowa St.,Web Video Available,8/30/2007 8:00:00 PM,W
LSU at Mississippi St.,ESPN HD,8/30/2007 8:00:00 PM,T
UNLV at Utah St.,Las Vegas One,8/30/2007 8:00:00 PM,T
SE Louisiana at New Mexico St.,AggieVision,8/30/2007 8:00:00 PM,T
Weber St. at Boise St.,KTVB,8/30/2007 9:00:00 PM,T
Navy at Temple,ESPNU,8/31/2007 7:30:00 PM,T
Washington at Syracuse,ESPN HD,8/31/2007 8:00:00 PM,T
Colorado St. vs. Colorado<br>(at Denver, CO),FSN HD,9/1/2007 12:00:00 PM,T
East Carolina at Virginia Tech,ESPN HD,9/1/2007 12:00:00 PM,T
Marshall at Miami (FL),ESPNU,9/1/2007 12:00:00 PM,T
UAB at Michigan St.,ESPN2 HD,9/1/2007 12:00:00 PM,T
Appalachian St. at Michigan,Big Ten Network HD,9/1/2007 12:00:00 PM,T
Northeastern at Northwestern,Big Ten Network,9/1/2007 12:00:00 PM,T
Youngstown St. at Ohio St.,Big Ten Network HD,9/1/2007 12:00:00 PM,T
FIU at Penn St.,Big Ten Network HD,9/1/2007 12:00:00 PM,T
Western Kentucky at Florida,Lincoln Financial Sports,9/1/2007 12:30:00 PM,T
South Carolina St. at Air Force,The mtn.,9/1/2007 2:00:00 PM,T
Virginia at Wyoming,Versus,9/1/2007 2:00:00 PM,T
Connecticut at Duke,ACC Select,9/1/2007 2:00:00 PM,W
Southern vs. Florida A&M<br>(at Birmingham, AL),ESPN Classic,9/1/2007 3:00:00 PM,T
Iowa vs. Northern Illinois<br>(at Chicago, IL),ESPNU,9/1/2007 3:30:00 PM,T
Wake Forest at Boston College,ABC HD,9/1/2007 3:30:00 PM,T
Nevada at Nebraska,ABC,9/1/2007 3:30:00 PM,T
Western Michigan at West Virginia,ESPN Plus,9/1/2007 3:30:00 PM,T
Washington St. at Wisconsin,ABC HD,9/1/2007 3:30:00 PM,T
Missouri vs. Illinois<br>(at St. Louis, MO),ESPN2 HD,9/1/2007 3:30:00 PM,T
Ole Miss at Memphis,CSS,9/1/2007 3:30:00 PM,T
Georgia Tech at Notre Dame,NBC HD,9/1/2007 3:30:00 PM,T
Middle Tennessee at FAU,Web Video Available,9/1/2007 4:00:00 PM,W
Arizona at BYU,Versus,9/1/2007 5:30:00 PM,T
Baylor at TCU,CSTV,9/1/2007 6:00:00 PM,T
Eastern Kentucky at Kentucky,Big Blue Sports,9/1/2007 6:00:00 PM,T
James Madison at North Carolina,ESPN360,9/1/2007 6:00:00 PM,W
UCF at NC State,ESPN360,9/1/2007 6:00:00 PM,W
Villanova at Maryland,ESPN360,9/1/2007 6:00:00 PM,W
Oklahoma St. at Georgia,ESPN2 HD,9/1/2007 6:45:00 PM,T
Western Carolina at Alabama,Crimson Tide PPV,9/1/2007 7:00:00 PM,T
UL-Lafayette at South Carolina,CSS PPV,9/1/2007 7:00:00 PM,T
Purdue at Toledo,ESPNU,9/1/2007 7:00:00 PM,T
Army vs. Akron<br>(at Cleveland, OH),ESPN Plus,9/1/2007 7:00:00 PM,T
Gardner-Webb at Ohio,WSFJ,9/1/2007 7:00:00 PM,T
Elon at USF,ESPN Plus,9/1/2007 7:00:00 PM,T
North Texas at Oklahoma,FSN HD,9/1/2007 7:00:00 PM,T
Arkansas St. at Texas,FSN PPV,9/1/2007 7:00:00 PM,T
UT-Martin at Southern Miss,Web Video Available,9/1/2007 7:00:00 PM,W
Kansas St. at Auburn,ESPN HD,9/1/2007 7:45:00 PM,T
Nicholls St. at Rice,Web Video Available,9/1/2007 8:00:00 PM,W
Indiana St. at Indiana,Big Ten Network HD,9/1/2007 8:00:00 PM,T
Bowling Green at Minnesota,Big Ten Network HD,9/1/2007 8:00:00 PM,T
New Mexico at UTEP,CSTV,9/1/2007 10:00:00 PM,T
Sacramento St. at Fresno St.,Web Video Available,9/1/2007 10:00:00 PM,W
Northern Colorado at Hawai'i,Oceanic PPV,9/1/2007 11:59:00 PM,T
Texas Tech at SMU,ESPN HD,9/3/2007 4:00:00 PM,T
Florida St. at Clemson,ESPN HD,9/3/2007 8:00:00 PM,T
Middle Tennessee at Louisville,ESPN2 HD,9/6/2007 7:00:00 PM,T
Oregon St. at Cincinnati,ESPN HD,9/6/2007 7:30:00 PM,T
Navy at Rutgers,ESPN HD,9/7/2007 7:00:00 PM,T
West Virginia at Marshall,ESPN2 HD,9/8/2007 11:00:00 AM,T
Bowling Green at Michigan St.,Big Ten Network HD,9/8/2007 12:00:00 PM,T
Miami (OH) at Minnesota,Big Ten Network,9/8/2007 12:00:00 PM,T
Nevada at Northwestern,Big Ten Network HD,9/8/2007 12:00:00 PM,T
Akron at Ohio St.,Big Ten Network HD,9/8/2007 12:00:00 PM,T
Eastern Illinois at Purdue,Big Ten Network HD,9/8/2007 12:00:00 PM,T
Miami (FL) at Oklahoma,ABC HD,9/8/2007 12:00:00 PM,T
Grambling at Pittsburgh,ESPN360,9/8/2007 12:00:00 PM,W
Nebraska at Wake Forest,ESPN HD,9/8/2007 12:00:00 PM,T
Duke at Virginia,Raycom/LF Sports,9/8/2007 12:00:00 PM,T
Ball St. at Eastern Michigan,Comcast Local,9/8/2007 12:00:00 PM,T
Alabama at Vanderbilt,Lincoln Financial Sports,9/8/2007 12:30:00 PM,T
Buffalo at Temple,Web Video Available,9/8/2007 1:00:00 PM,W
UL-Monroe at Clemson,CSS Replay Feed,9/8/2007 1:00:00 PM,T
Rhode Island at Army,ESPN Classic,9/8/2007 1:00:00 PM,T
Samford at Georgia Tech,ESPNU,9/8/2007 1:30:00 PM,T
Utah St. at Wyoming,The mtn.,9/8/2007 2:00:00 PM,T
California at Colorado St.,CSTV,9/8/2007 2:00:00 PM,T
NC State at Boston College,ESPN2 HD,9/8/2007 2:30:00 PM,T
Fresno St. at Texas A&M,FSN HD,9/8/2007 3:30:00 PM,T
Oregon at Michigan,ABC HD,9/8/2007 3:30:00 PM,T
UAB at Florida St.,ESPNU,9/8/2007 5:00:00 PM,T
South Carolina at Georgia,ESPN2 HD,9/8/2007 5:45:00 PM,T
Kent St. at Kentucky,Big Blue PPV,9/8/2007 6:00:00 PM,T
Troy at Florida,Sun Sports PPV,9/8/2007 6:00:00 PM,T
Air Force at Utah,The mtn.,9/8/2007 6:00:00 PM,T
Notre Dame at Penn St.,ESPN HD,9/8/2007 6:00:00 PM,T
North Carolina at East Carolina,CSTV,9/8/2007 6:00:00 PM,T
Mississippi St. at Tulane,CSS,9/8/2007 7:00:00 PM,T
Western Illinois at Illinois,Big Ten Network HD,9/8/2007 7:00:00 PM,T
TCU at Texas,FSN HD,9/8/2007 7:00:00 PM,T
Maine at Connecticut,ESPN Plus,9/8/2007 7:00:00 PM,T
Southern Miss at Tennessee,Vol Network PPV,9/8/2007 7:00:00 PM,T
Toledo at Central Michigan,Web Video Available,9/8/2007 7:00:00 PM,W
Hawai'i at Louisiana Tech,ESPN Plus,9/8/2007 7:00:00 PM,T
Ohio at UL-Lafayette,Web Video Available,9/8/2007 7:00:00 PM,W
Southern Illinois at Northern Illinois,CSN Chicago,9/8/2007 7:30:00 PM,T
Indiana at Western Michigan,ESPNU,9/8/2007 8:00:00 PM,T
Syracuse at Iowa,Big Ten Network HD,9/8/2007 8:00:00 PM,T
North Texas at SMU,Web Video Available,9/8/2007 8:00:00 PM,W
USF at Auburn,ESPN2 HD,9/8/2007 9:00:00 PM,T
Virginia Tech at LSU,ESPN HD,9/8/2007 9:15:00 PM,T
New Mexico St. at New Mexico,The mtn.,9/8/2007 9:30:00 PM,T
Wisconsin at UNLV,Versus,9/8/2007 10:00:00 PM,T
West Virginia at Maryland,ESPN HD,9/13/2007 7:30:00 PM,T
TCU at Air Force,CSTV,9/13/2007 8:00:00 PM,T
Oklahoma St. at Troy,ESPN2 HD,9/14/2007 8:00:00 PM,T
Eastern Michigan at Northern Illinois,ESPN Plus,9/15/2007 12:00:00 PM,T
Cincinnati at Miami (OH),ESPN Plus,9/15/2007 12:00:00 PM,T
Virginia at North Carolina,Raycom/LF Sports,9/15/2007 12:00:00 PM,T
Illinois at Syracuse,ESPNU,9/15/2007 12:00:00 PM,T
Temple at Connecticut,ESPN Plus,9/15/2007 12:00:00 PM,T
Pittsburgh at Michigan St.,ESPN HD,9/15/2007 12:00:00 PM,T
Central Michigan at Purdue,ESPN2 HD,9/15/2007 12:00:00 PM,T
Akron at Indiana,Big Ten Network HD,9/15/2007 12:00:00 PM,T
Buffalo at Penn St.,Big Ten Network HD,9/15/2007 12:00:00 PM,T
The Citadel at Wisconsin,Big Ten Network HD,9/15/2007 12:00:00 PM,T
Mississippi St. at Auburn,Lincoln Financial Sports,9/15/2007 12:30:00 PM,T
Western Carolina at Georgia,CSS PPV,9/15/2007 1:00:00 PM,T
Minnesota vs. FAU<br>(at Miami, FL),ESPN360,9/15/2007 1:00:00 PM,W
Furman at Clemson,CSS Replay Feed,9/15/2007 1:00:00 PM,T
Ohio at Virginia Tech,ESPN360,9/15/2007 1:30:00 PM,W
Iowa at Iowa St.,Versus,9/15/2007 1:30:00 PM,T
Texas Tech at Rice,FSN Southwest,9/15/2007 3:00:00 PM,T
Texas at UCF,ESPN2 HD,9/15/2007 3:30:00 PM,T
Notre Dame at Michigan,ABC HD,9/15/2007 3:30:00 PM,T
Army at Wake Forest,ACC Select,9/15/2007 3:30:00 PM,W
FIU at Miami (FL),ESPNU,9/15/2007 3:30:00 PM,T
Norfolk St. at Rutgers,ESPN Plus,9/15/2007 3:30:00 PM,T
Utah St. at Oklahoma,FSN PPV,9/15/2007 3:30:00 PM,T
Tennessee at Florida,CBS HD,9/15/2007 3:30:00 PM,T
Delaware St. at Kent St.,Web Video Available,9/15/2007 4:00:00 PM,W
New Hampshire at Marshall,Web Video Available,9/15/2007 4:30:00 PM,W
Ball St. at Navy,CSTV,9/15/2007 5:00:00 PM,T
UCLA at Utah,Versus,9/15/2007 5:00:00 PM,T
