game,network,time,mediaindicator
Southern Miss at East Carolina,WITN,9/15/2007 6:00:00 PM,T
Wofford at NC State,ESPN360,9/15/2007 6:00:00 PM,W
Arkansas at Alabama,ESPN HD,9/15/2007 6:45:00 PM,T
South Carolina St. at South Carolina,CSS PPV,9/15/2007 7:00:00 PM,T
Ole Miss at Vanderbilt,CSS PPV,9/15/2007 7:00:00 PM,T
McNeese St. at UL-Lafayette,Web Video Available,9/15/2007 7:00:00 PM,W
Houston at Tulane,Web Video Available,9/15/2007 7:00:00 PM,W
Alcorn St. at UAB,Web Video Available,9/15/2007 7:00:00 PM,W
Louisville at Kentucky,ESPN Classic,9/15/2007 7:30:00 PM,T
Middle Tennessee at LSU,TigerVision PPV,9/15/2007 8:00:00 PM,T
Wyoming at Boise St.,KTVB,9/15/2007 8:00:00 PM,T
UTEP at New Mexico,AggieVision,9/15/2007 8:00:00 PM,T
Jacksonville St. at Memphis,Web Video Available,9/15/2007 8:00:00 PM,W
Duke at Northwestern,Big Ten Network HD,9/15/2007 8:00:00 PM,T
Boston College at Georgia Tech,ESPN2 HD,9/15/2007 8:00:00 PM,T
USC at Nebraska,ABC HD,9/15/2007 8:00:00 PM,T
BYU at Tulsa,CSTV,9/15/2007 9:00:00 PM,T
Nicholls St. at Nevada,ESPN Plus,9/15/2007 9:00:00 PM,T
Hawai'i at UNLV,The mtn.,9/15/2007 9:30:00 PM,T
Florida St. at Colorado,ESPN HD,9/15/2007 10:00:00 PM,T
Western Kentucky at Middle Tennessee,ESPN Plus,9/20/2007 7:00:00 PM,T
Texas A&M at Miami (FL),ESPN HD,9/20/2007 7:30:00 PM,T
Oklahoma at Tulsa,ESPN2 HD,9/21/2007 8:00:00 PM,T
Illinois at Indiana,Big Ten Network HD,9/22/2007 12:00:00 PM,T
Georgia Tech at Virginia,ESPNU,9/22/2007 12:00:00 PM,T
Clemson at NC State,Raycom/LF Sports,9/22/2007 12:00:00 PM,T
North Carolina at USF,ESPN HD,9/22/2007 12:00:00 PM,T
East Carolina at West Virginia,ESPN2 HD,9/22/2007 12:00:00 PM,T
Syracuse at Louisville,ESPN Plus,9/22/2007 12:00:00 PM,T
Temple at Bowling Green,ESPN Plus,9/22/2007 12:00:00 PM,T
Kent St. at Akron,ESPN Plus,9/22/2007 12:00:00 PM,T
Florida at Ole Miss,Lincoln Financial Sports,9/22/2007 12:30:00 PM,T
Ball St. at Nebraska,FSN PPV,9/22/2007 12:30:00 PM,T
Army at Boston College ,ESPN Classic,9/22/2007 1:00:00 PM,T
Duke at Navy,CSTV,9/22/2007 1:00:00 PM,T
William & Mary at Virginia Tech,ACC Select,9/22/2007 1:30:00 PM,W
Air Force at BYU,The mtn.,9/22/2007 3:00:00 PM,T
Wyoming at Ohio,WSFJ,9/22/2007 3:00:00 PM,T
Howard at Eastern Michigan,Comcast Local,9/22/2007 3:30:00 PM,T
North Dakota St. at Central Michigan,Web Video Available,9/22/2007 3:30:00 PM,W
South Carolina at LSU,CBS HD,9/22/2007 3:30:00 PM,T
Memphis at UCF,CSS,9/22/2007 3:30:00 PM,T
Michigan St. at Notre Dame,NBC HD,9/22/2007 3:30:00 PM,T
Penn St. at Michigan,ABC HD,9/22/2007 3:30:00 PM,T
Northwestern at Ohio St.,ESPN HD,9/22/2007 3:30:00 PM,T
Maryland at Wake Forest,ESPNU,9/22/2007 3:30:00 PM,T
Texas Tech at Oklahoma St.,FSN HD,9/22/2007 3:30:00 PM,T
Colorado St. at Houston,CSTV,9/22/2007 4:30:00 PM,T
Northern Illinois at Idaho,KBCI,9/22/2007 5:00:00 PM,T
Kentucky at Arkansas,ESPN2 HD,9/22/2007 6:00:00 PM,T
Baylor at Buffalo,Web Video Available,9/22/2007 6:00:00 PM,W
Portland St. at San Diego St.,The mtn.,9/22/2007 6:30:00 PM,T
New Mexico St. at Auburn,CSS PPV,9/22/2007 7:00:00 PM,T
Arkansas St. at Tennessee,Vol Network PPV,9/22/2007 7:00:00 PM,T
Iowa St. at Toledo,Web Video Available,9/22/2007 7:00:00 PM,W
Central Connecticut St. at Western Michigan,Web Video Available,9/22/2007 7:00:00 PM,W
FAU at North Texas,CSS,9/22/2007 7:00:00 PM,T
Troy at UL-Lafayette,Troy Sports,9/22/2007 7:00:00 PM,T
Gardner-Webb at Mississippi St.,Web Video Available,9/22/2007 7:00:00 PM,W
Rice at Texas,FSN HD,9/22/2007 7:00:00 PM,T
Connecticut at Pittsburgh,ESPNU,9/22/2007 7:00:00 PM,T
Marshall at Cincinnati,ESPN Plus,9/22/2007 7:00:00 PM,T
Georgia at Alabama,ESPN HD,9/22/2007 7:45:00 PM,T
Sacramento St. at New Mexico,Web Video Available,9/22/2007 8:00:00 PM,W
San Jose St. at Utah St.,ESPN Plus,9/22/2007 8:00:00 PM,T
Southeastern Louisiana at Tulane,Web Video Available,9/22/2007 8:00:00 PM,W
Iowa at Wisconsin,ABC HD,9/22/2007 8:00:00 PM,T
SMU at TCU,CSTV,9/22/2007 8:30:00 PM,T
Purdue at Minnesota,ESPN2 HD,9/22/2007 9:00:00 PM,T
Texas Southern at UTEP,Web Video Available,9/22/2007 9:00:00 PM,W
Utah at UNLV,The mtn.,9/22/2007 10:00:00 PM,T
Charleston Southern at Hawai'i,Oceanic PPV,9/22/2007 11:59:00 PM,T
Memphis at Arkansas St.,Web Video Available,9/27/2007 7:00:00 PM,W
Southern Miss at Boise St.,ESPN HD,9/27/2007 7:30:00 PM,T
West Virginia at USF,ESPN2 HD,9/28/2007 8:00:00 PM,T
Akron at Connecticut,ESPN Plus,9/29/2007 12:00:00 PM,T
North Carolina at Virginia Tech,Raycom/LF Sports,9/29/2007 12:00:00 PM,T
LSU at Tulane,ESPN2 HD,9/29/2007 12:00:00 PM,T
Temple at Army,ESPNU,9/29/2007 12:00:00 PM,T
Notre Dame at Purdue,ESPN HD,9/29/2007 12:00:00 PM,T
Indiana at Iowa,Big Ten Network HD,9/29/2007 12:00:00 PM,T
Penn St. at Illinois,Big Ten Network HD,9/29/2007 12:00:00 PM,T
Michigan at Northwestern,Big Ten Network HD,9/29/2007 12:00:00 PM,T
Northern Illinois at Central Michigan,ESPN Plus,9/29/2007 12:00:00 PM,T
Mississippi St. at South Carolina,Lincoln Financial Sports,9/29/2007 12:30:00 PM,T
Baylor at Texas A&M,Versus,9/29/2007 12:30:00 PM,T
Massachusetts at Boston College,ESPN360,9/29/2007 1:00:00 PM,W
Air Force at Navy,CSTV,9/29/2007 1:00:00 PM,T
FAU at Kentucky,Big Blue PPV,9/29/2007 1:00:00 PM,T
Buffalo at Ball St.,Web Video Available,9/29/2007 1:00:00 PM,W
Oklahoma at Colorado,FSN HD,9/29/2007 1:30:00 PM,T
Kent St. at Ohio,FSN Ohio,9/29/2007 3:00:00 PM,T
Syracuse at Miami (OH),ONN,9/29/2007 3:00:00 PM,T
Utah St. at Utah,The mtn.,9/29/2007 3:00:00 PM,T
Kansas St. at Texas,ABC,9/29/2007 3:30:00 PM,T
Clemson at Georgia Tech,ABC HD,9/29/2007 3:30:00 PM,T
Louisville at NC State,ESPNU,9/29/2007 3:30:00 PM,T
Maryland at Rutgers,ABC,9/29/2007 3:30:00 PM,T
Michigan St. at Wisconsin,ABC HD,9/29/2007 3:30:00 PM,T
UC-Davis at San Jose St.,CSN West,9/29/2007 4:00:00 PM,T
UTEP at SMU,CSTV,9/29/2007 4:30:00 PM,T
Hawai'i at Idaho,Oceanic PPV,9/29/2007 5:00:00 PM,T
Florida St. vs. Alabama<br>(at Jacksonville, FL),CBS HD,9/29/2007 5:00:00 PM,T
Western Kentucky at Bowling Green,Web Video Available,9/29/2007 6:00:00 PM,W
UL-Lafayette at UCF,Web Video Available,9/29/2007 6:00:00 PM,W
East Carolina at Houston,WITN,9/29/2007 7:00:00 PM,T
UAB at Tulsa,Web Video Available,9/29/2007 7:00:00 PM,W
Pittsburgh at Virginia,ESPNU,9/29/2007 7:00:00 PM,T
Western Michigan at Toledo,Web Video Available,9/29/2007 7:00:00 PM,W
Colorado St. at TCU,The mtn.,9/29/2007 7:00:00 PM,T
FIU at Middle Tennessee,Web Video Available,9/29/2007 7:00:00 PM,W
UL-Monroe at Troy,CSS,9/29/2007 7:00:00 PM,T
Auburn at Florida,ESPN HD,9/29/2007 8:00:00 PM,T
UAPB at New Mexico St.,AggieVision,9/29/2007 8:00:00 PM,T
Ohio St. at Minnesota,ESPN2 HD,9/29/2007 8:00:00 PM,T
BYU at New Mexico,CSTV,9/29/2007 8:30:00 PM,T
Cincinnati at San Diego St.,Versus,9/29/2007 10:00:00 PM,T
UNLV at Nevada,Web Video Available,9/29/2007 10:00:00 PM,W
Louisiana Tech at Fresno St.,Web Video Available,9/29/2007 10:00:00 PM,W
Marshall at Memphis,ESPN2 HD,10/2/2007 8:00:00 PM,T
Rice at Southern Miss,ESPN2 HD,10/3/2007 8:00:00 PM,T
Kentucky at South Carolina,ESPN HD,10/4/2007 7:30:00 PM,T
Utah at Louisville,ESPN HD,10/5/2007 8:00:00 PM,T
West Virginia at Syracuse,ESPN Plus,10/6/2007 12:00:00 PM,T
Miami (FL) at North Carolina,ESPN2 HD,10/6/2007 12:00:00 PM,T
Bowling Green at Boston College,ESPNU,10/6/2007 12:00:00 PM,T
Georgia Tech at Maryland,Raycom/LF Sports,10/6/2007 12:00:00 PM,T
Kansas at Kansas St.,FSN HD,10/6/2007 12:00:00 PM,T
Wisconsin at Illinois,ESPN HD,10/6/2007 12:00:00 PM,T
Eastern Michigan at Michigan,Big Ten Network HD,10/6/2007 12:00:00 PM,T
Northwestern at Michigan St.,Big Ten Network HD,10/6/2007 12:00:00 PM,T
Minnesota at Indiana,Big Ten Network HD,10/6/2007 12:00:00 PM,T
Central Michigan at Ball St.,ESPN Plus,10/6/2007 12:00:00 PM,T
Vanderbilt at Auburn,Lincoln Financial Sports,10/6/2007 12:30:00 PM,T
Ohio at Buffalo,Web Video Available,10/6/2007 1:00:00 PM,W
Northern Illinois at Temple,Web Video Available,10/6/2007 1:00:00 PM,W
Wake Forest at Duke,ACC Select,10/6/2007 1:00:00 PM,W
TCU at Wyoming,The mtn.,10/6/2007 2:00:00 PM,T
Miami (OH) at Kent St.,FSN Ohio,10/6/2007 3:00:00 PM,T
Houston at Alabama,Crimson Tide PPV,10/6/2007 3:00:00 PM,T
Georgia at Tennessee,CBS HD,10/6/2007 3:30:00 PM,T
USF at FAU,ESPNU,10/6/2007 3:30:00 PM,T
Oklahoma vs. Texas<br>(at Dallas, TX),ABC HD,10/6/2007 3:30:00 PM,T
NC State at Florida St.,ABC,10/6/2007 3:30:00 PM,T
Iowa at Penn St.,ABC HD,10/6/2007 3:30:00 PM,T
Fresno St. at Nevada,KFRE,10/6/2007 4:00:00 PM,T
Idaho at San Jose St.,KBCI,10/6/2007 4:00:00 PM,T
San Diego St. at Colorado St.,The mtn.,10/6/2007 5:30:00 PM,T
Virginia Tech at Clemson,ESPN HD,10/6/2007 6:00:00 PM,T
Tulane at Army,ESPNU,10/6/2007 7:00:00 PM,T
Akron at Western Michigan,Web Video Available,10/6/2007 7:00:00 PM,W
Liberty at Toledo,Web Video Available,10/6/2007 7:00:00 PM,W
Virginia at Middle Tennessee,CSS,10/6/2007 7:00:00 PM,T
North Texas at UL-Lafayette,ESPN Plus,10/6/2007 7:00:00 PM,T
Arkansas St. at UL-Monroe,Web Video Available,10/6/2007 7:00:00 PM,W
Troy at FIU,Web Video Available,10/6/2007 7:00:00 PM,W
UCF at East Carolina,CSTV,10/6/2007 7:30:00 PM,T
Oklahoma St. at Texas A&M,FSN HD,10/6/2007 7:30:00 PM,T
Cincinnati at Rutgers,ESPN2 HD,10/6/2007 8:00:00 PM,T
Ohio St. at Purdue,ABC HD,10/6/2007 8:00:00 PM,T
Florida at LSU,CBS HD,10/6/2007 8:00:00 PM,T
UNLV at Air Force,The mtn.,10/6/2007 9:00:00 PM,T
Tulsa at UTEP,Web Video Available,10/6/2007 9:00:00 PM,W
Nebraska at Missouri,ESPN HD,10/6/2007 9:15:00 PM,T
Utah St. at Hawai'i,Oceanic PPV,10/6/2007 11:59:00 PM,T
New Mexico St. at Boise St.,ESPN HD,10/7/2007 8:00:00 PM,T
Navy at Pittsburgh,ESPN HD,10/10/2007 8:00:00 PM,T
Florida St. at Wake Forest,ESPN HD,10/11/2007 7:30:00 PM,T
Hawai'i at San Jose St.,ESPN HD,10/12/2007 8:00:00 PM,T
Eastern Michigan at Ohio,ESPN Plus,10/13/2007 12:00:00 PM,T
Georgia Tech at Miami (FL),ESPN HD,10/13/2007 12:00:00 PM,T
Virginia Tech at Duke,Raycom/LF Sports,10/13/2007 12:00:00 PM,T
UCF at USF,ESPNU,10/13/2007 12:00:00 PM,T
Rutgers at Syracuse,ESPN Plus,10/13/2007 12:00:00 PM,T
Illinois at Iowa,ESPN2 HD,10/13/2007 12:00:00 PM,T
Purdue at Michigan,Big Ten Network HD,10/13/2007 12:00:00 PM,T
Minnesota at Northwestern,Big Ten Network HD,10/13/2007 12:00:00 PM,T
Kent St. at Ohio St.,Big Ten Network HD,10/13/2007 12:00:00 PM,T
Texas at Iowa St.,FSN HD,10/13/2007 12:30:00 PM,T
Baylor at Kansas,FOX College Sports,10/13/2007 12:30:00 PM,T
Oklahoma St. at Nebraska,FSN PPV,10/13/2007 12:30:00 PM,T
Alabama at Ole Miss,Lincoln Financial Sports,10/13/2007 12:30:00 PM,T
Toledo at Buffalo,Web Video Available,10/13/2007 1:00:00 PM,W
Western Kentucky at Ball St.,Web Video Available,10/13/2007 2:00:00 PM,W
New Mexico at Wyoming,The mtn.,10/13/2007 2:00:00 PM,T
Tennessee at Mississippi St.,Vol Network PPV,10/13/2007 2:30:00 PM,T
San Diego St. at Utah,4SD,10/13/2007 3:00:00 PM,T
Bowling Green at Miami (OH),FSN Ohio,10/13/2007 3:00:00 PM,T
Army at Central Michigan,Comcast Local,10/13/2007 3:30:00 PM,T
LSU at Kentucky,CBS HD,10/13/2007 3:30:00 PM,T
Texas A&M at Texas Tech,ABC,10/13/2007 3:30:00 PM,T
South Carolina at North Carolina,ABC HD,10/13/2007 3:30:00 PM,T
Connecticut at Virginia,ESPNU,10/13/2007 3:30:00 PM,T
Wisconsin at Penn St.,ABC HD,10/13/2007 3:30:00 PM,T
Rice at Houston,CSTV,10/13/2007 3:30:00 PM,T
Boston College at Notre Dame,NBC HD,10/13/2007 3:30:00 PM,T
Western Michigan at Northern Illinois,CSN Chicago,10/13/2007 4:00:00 PM,T
Fresno St. at Idaho,KFRE<br>Altitude,10/13/2007 5:00:00 PM,T
Air Force at Colorado St.,The mtn.,10/13/2007 5:30:00 PM,T
Temple at Akron,Web Video Available,10/13/2007 6:00:00 PM,W
Georgia at Vanderbilt,ESPN2 HD,10/13/2007 6:00:00 PM,T
Missouri at Oklahoma,FSN HD,10/13/2007 6:30:00 PM,T
Louisville at Cincinnati,ESPNU,10/13/2007 7:00:00 PM,T
Marshall at Tulsa,WOWK,10/13/2007 7:00:00 PM,T
Tulane at UAB,Web Video Available,10/13/2007 7:00:00 PM,W
Indiana at Michigan St.,Big Ten Network HD,10/13/2007 7:00:00 PM,T
UL-Monroe at North Texas,ESPN Plus,10/13/2007 7:00:00 PM,T
UL-Lafayette at Arkansas St.,Web Video Available,10/13/2007 7:00:00 PM,W
New Mexico St. at Louisiana Tech,ESPN Plus,10/13/2007 7:00:00 PM,T
SMU at Southern Miss,CSTV,10/13/2007 7:30:00 PM,T
Auburn at Arkansas,ESPN HD,10/13/2007 7:45:00 PM,T
Middle Tennessee at Memphis,Web Video Available,10/13/2007 8:00:00 PM,W
East Carolina at UTEP,MASN,10/13/2007 9:00:00 PM,T
Colorado at Kansas St.,ESPN2 HD,10/13/2007 9:15:00 PM,T
BYU at UNLV,The mtn.,10/13/2007 9:30:00 PM,T
Nevada at Boise St.,ESPN HD,10/14/2007 8:00:00 PM,T
USF at Rutgers,ESPN HD,10/18/2007 7:30:00 PM,T
Utah at TCU,Versus,10/18/2007 8:00:00 PM,T
Northwestern vs. Eastern Michigan<br>(at Detroit, MI),ESPNU,10/19/2007 7:30:00 PM,T
Louisville at Connecticut,ESPN HD,10/19/2007 8:00:00 PM,T
Cincinnati at Pittsburgh,ESPN Plus,10/20/2007 12:00:00 PM,T
Central Michigan at Clemson,ESPNU,10/20/2007 12:00:00 PM,T
Army at Georgia Tech,Raycom/LF Sports,10/20/2007 12:00:00 PM,T
Penn St. at Indiana,ESPN HD,10/20/2007 12:00:00 PM,T
Iowa at Purdue,ESPN2 HD,10/20/2007 12:00:00 PM,T
North Dakota St. at Minnesota,Big Ten Network HD,10/20/2007 12:00:00 PM,T
Northern Illinois at Wisconsin,Big Ten Network HD,10/20/2007 12:00:00 PM,T
Miami (OH) at Temple,ESPN Plus,10/20/2007 12:00:00 PM,T
Tennessee at Alabama,Lincoln Financial Sports,10/20/2007 12:30:00 PM,T
Vanderbilt at South Carolina,CSS PPV,10/20/2007 12:30:00 PM,T
Oklahoma at Iowa St.,FSN HD,10/20/2007 12:30:00 PM,T
Texas at Baylor,Versus,10/20/2007 12:30:00 PM,T
Wake Forest at Navy,CSTV,10/20/2007 1:00:00 PM,T
Bowling Green at Kent St.,Web Video Available,10/20/2007 1:00:00 PM,W
Ball St. at Western Michigan,Comcast Local,10/20/2007 2:00:00 PM,T
Wyoming at Air Force,The mtn.,10/20/2007 2:00:00 PM,T
